"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000085" "chr4-7848" "chr4" 120160154 120160346 5.94 2.16e-08 "Scmh1" "sex comb on midleg homolog 1" "4" 120077886 120202804 1 "D2.2" NA 0.0189928785 5.4460450074 0.8709663165 1
"ENSMUSG00000000127" "chr17-4259" "chr17" 64479788 64479992 3.53 1.26e-06 "Fer" "fer (fms/fps related) protein kinase" "17" 64213364 64488843 1 "E1.1" NA -0.0654051525 3.6968024545 0.688510941 1
"ENSMUSG00000000148" "chr5-5459" "chr5" 141197080 141197272 2.75 2.45e-05 "Baat1" "BRCA1-associated ATM activator 1" "5" 141180965 141195333 1 "G2" NA 0.0222059872 4.4393460244 0.8718749103 1
"ENSMUSG00000000149" "chr5-2176" "chr5" 141287774 141287966 2.07 1.13e-05 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA -0.0660427033 6.3546413409 0.5643101841 1
"ENSMUSG00000000149" "chr5-2703" "chr5" 141323588 141323780 2.16 4e-05 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA -0.0660427033 6.3546413409 0.5643101841 1
"ENSMUSG00000000149" "chr5-3504" "chr5" 141242978 141243170 2.41 1.07e-05 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA -0.0660427033 6.3546413409 0.5643101841 1
"ENSMUSG00000000149" "chr5-4152" "chr5" 141239250 141239442 2.97 7.64e-07 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA -0.0660427033 6.3546413409 0.5643101841 1
"ENSMUSG00000000149" "chr5-5460" "chr5" 141238370 141238562 2.97 2.94e-06 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA -0.0660427033 6.3546413409 0.5643101841 1
"ENSMUSG00000000197" "chr14-1535" "chr14" 123711210 123711414 2.02 4.35e-05 "Nalcn" "sodium leak channel, non-selective" "14" 123675863 124026366 -1 "E5" NA 0.0248390168 7.0638000617 0.8315809395 1
"ENSMUSG00000000197" "chr14-1740" "chr14" 123694993 123695197 2.3 1.83e-06 "Nalcn" "sodium leak channel, non-selective" "14" 123675863 124026366 -1 "E5" NA 0.0248390168 7.0638000617 0.8315809395 1
"ENSMUSG00000000301" "chr11-5655" "chr11" 59905459 59905663 2.83 1.89e-06 "Pemt" "phosphatidylethanolamine N-methyltransferase" "11" 59784116 59859991 -1 "B1.3" NA 0.1134682088 0.4850500248 0.7004607504 1
"ENSMUSG00000000305" "chr2-5491" "chr2" 179503581 179503773 2.33 2.57e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.1086420402 6.2058434056 0.3405393681 1
"ENSMUSG00000000305" "chr2-2779" "chr2" 179529007 179529211 2.63 1.39e-07 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.1086420402 6.2058434056 0.3405393681 1
"ENSMUSG00000000305" "chr2-7042" "chr2" 179198819 179199023 2.39 7.06e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.1086420402 6.2058434056 0.3405393681 1
"ENSMUSG00000000317" "chr11-6293" "chr11" 70042304 70042496 3.1 3.73e-06 "Bcl6b" "B cell CLL/lymphoma 6, member B" "11" 70037630 70043300 -1 "B3" NA 0.0032070764 0.5024611961 1 1
"ENSMUSG00000000378" "chr11-7261" "chr11" 6461474 6461666 2.64 6.68e-05 "Ccm2" "cerebral cavernous malformation 2 homolog (human)" "11" 6446890 6496747 1 "A1" NA -0.1440902891 5.6192481954 0.209 1
"ENSMUSG00000000530" "chr15-2635" "chr15" 100983398 100983602 3.23 1.99e-08 "Acvrl1" "activin A receptor, type II-like 1" "15" 100958953 100975767 1 "F2" NA 0.0419853411 3.4669937306 0.8055379024 1
"ENSMUSG00000000531" "chr15-1895" "chr15" 101063388 101063580 2.16 2.44e-06 "Grasp" "GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein" "15" 101054638 101063186 1 "F2" NA -0.0702181383 5.4425296957 0.5449774979 1
"ENSMUSG00000000531" "chr15-2822" "chr15" 101064661 101064865 2.24 5.05e-05 "Grasp" "GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein" "15" 101054638 101063186 1 "F2" NA -0.0702181383 5.4425296957 0.5449774979 1
"ENSMUSG00000000532" "chr15-2635" "chr15" 100983398 100983602 3.23 1.99e-08 "Acvr1b" "activin A receptor, type 1B" "15" 101004556 101043032 1 "F2" NA 0.01571284 6.5689559842 0.8917552574 1
"ENSMUSG00000000532" "chr15-3275" "chr15" 101051220 101051424 2.24 5.05e-05 "Acvr1b" "activin A receptor, type 1B" "15" 101004556 101043032 1 "F2" NA 0.01571284 6.5689559842 0.8917552574 1
"ENSMUSG00000000538" "chr11-8295" "chr11" 60078867 60079059 2.64 6.68e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA 0.013041744 8.1137061407 0.9137221826 1
"ENSMUSG00000000538" "chr11-5659" "chr11" 60047224 60047428 2.44 1.91e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA 0.013041744 8.1137061407 0.9137221826 1
"ENSMUSG00000000560" "chr5-6914" "chr5" 71555397 71555601 2.58 5.81e-05 "Gabra2" "gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2" "5" 71352296 71487088 -1 "C3.1" NA 0.0771001867 5.9498723574 0.4970768074 1
