"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "gene_name" "description" "chromosome_name" "start_position" "end_position" "strand" "genes" "logFC" "logCPM" "LR" "p.y" "FDR" "CFDR"
"ENSGACG00000000060" "scaffold_99-11" "scaffold_99" 38969 39173 2.68 5.4e-07 "raf1a" "v-raf-1 murine leukemia viral oncogene homolog 1a [Source:ZFIN;Acc:ZDB-GENE-990415-41]" "scaffold_99" 29930 39298 -1 "ENSGACG00000000060" -0.030914703172262 3.65686415113339 0.0572674876649089 0.810868109061583 0.99957234361132 0.999832494075397
"ENSGACG00000000081" "scaffold_99-6" "scaffold_99" 301767 301971 2.07 1.32e-05 "SUSD3" "sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]" "scaffold_99" 284369 287918 1 "ENSGACG00000000081" 0.187125613066075 -0.178910257734193 0.255956256532539 0.612911971890009 0.99957234361132 0.999832494075397
"ENSGACG00000000084" "scaffold_99-6" "scaffold_99" 301767 301971 2.07 1.32e-05 "" "" "scaffold_99" 302816 334997 1 "ENSGACG00000000084" -0.0987694359529629 5.47373186967339 0.471236616718372 0.492418816492396 0.99957234361132 0.977032641499042
"ENSGACG00000000111" "scaffold_95-20" "scaffold_95" 391259 391463 3.47 8.96e-06 "cubn" "cubilin (intrinsic factor-cobalamin receptor) [Source:ZFIN;Acc:ZDB-GENE-060228-6]" "scaffold_95" 388665 426113 -1 "ENSGACG00000000111" 0.436117300361733 0.335694347249561 0.546103508493189 0.459914183729127 0.99957234361132 0.965299723436679
"ENSGACG00000000123" "scaffold_740-1" "scaffold_740" 7303 7507 2.72 3.85e-05 "GTPBP1 (1 of 2)" "GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]" "scaffold_740" 7379 9953 1 "ENSGACG00000000123" -0.0274834504858473 3.2444023685374 0.044856482285013 0.832268147769224 0.99957234361132 0.999832494075397
"ENSGACG00000000151" "scaffold_58-15" "scaffold_58" 1103366 1103570 3.18 3.83e-06 "" "" "scaffold_58" 1078466 1084416 -1 "ENSGACG00000000151" 0.356310372353418 3.59828772491688 0.6681751243596 0.413688566072162 0.99957234361132 0.941972106933722
"ENSGACG00000000159" "scaffold_216-6" "scaffold_216" 31102 31306 3.61 8.81e-08 "abch1" "ATP-binding cassette, sub-family H, member 1 [Source:ZFIN;Acc:ZDB-GENE-050517-42]" "scaffold_216" 22320 32341 -1 "ENSGACG00000000159" 0.267282307647291 5.01946367907207 2.09783192595085 0.147508170681162 0.99957234361132 0.576245193487589
"ENSGACG00000000310" "scaffold_69-20" "scaffold_69" 697273 697477 6.58 2.97e-10 "zeb2a" "zinc finger E-box binding homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-070912-553]" "scaffold_69" 675685 685685 -1 "ENSGACG00000000310" 0.0775055398199048 4.26167965808036 0.212711990809375 0.64465002693939 0.99957234361132 0.999832494075397
"ENSGACG00000000311" "scaffold_69-20" "scaffold_69" 697273 697477 6.58 2.97e-10 "epc2" "enhancer of polycomb homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-802]" "scaffold_69" 762591 778555 1 "ENSGACG00000000311" 0.0263278837814673 4.34904999587727 0.0912187453552775 0.762633453458882 0.99957234361132 0.999832494075397
"ENSGACG00000000316" "scaffold_27-311" "scaffold_27" 104787 104991 3.18 3.83e-06 "nek4" "NIMA (never in mitosis gene a)-related kinase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1392]" "scaffold_27" 95883 102349 -1 "ENSGACG00000000316" -0.0117331073396894 5.41492190031858 0.0184244325555536 0.892029489632026 0.99957234361132 0.999832494075397
"ENSGACG00000000319" "scaffold_27-311" "scaffold_27" 104787 104991 3.18 3.83e-06 "CAMK1 (1 of 2)" "calcium/calmodulin-dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]" "scaffold_27" 105400 129142 1 "ENSGACG00000000319" -0.0377337232771244 4.83857292309323 0.130426072646657 0.717990680665445 0.99957234361132 0.999832494075397
"ENSGACG00000000357" "scaffold_27-416" "scaffold_27" 297835 298039 6.07 1.64e-07 "tmem183a" "transmembrane protein 183A [Source:ZFIN;Acc:ZDB-GENE-050327-5]" "scaffold_27" 291025 294940 1 "ENSGACG00000000357" 0.0790992582287782 5.23631881405184 0.866395574816931 0.351955102390332 0.99957234361132 0.899212337459371
"ENSGACG00000000357" "scaffold_27-496" "scaffold_27" 298317 298521 3.75 6.83e-05 "tmem183a" "transmembrane protein 183A [Source:ZFIN;Acc:ZDB-GENE-050327-5]" "scaffold_27" 291025 294940 1 "ENSGACG00000000357" 0.0790992582287782 5.23631881405184 0.866395574816931 0.351955102390332 0.99957234361132 0.899212337459371
"ENSGACG00000000357" "scaffold_27-417" "scaffold_27" 304870 305074 5.63 1.01e-06 "tmem183a" "transmembrane protein 183A [Source:ZFIN;Acc:ZDB-GENE-050327-5]" "scaffold_27" 291025 294940 1 "ENSGACG00000000357" 0.0790992582287782 5.23631881405184 0.866395574816931 0.351955102390332 0.99957234361132 0.899212337459371
"ENSGACG00000000360" "scaffold_131-12" "scaffold_131" 148806 149010 6.07 1.64e-07 "CCDC109B (1 of 2)" "coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]" "scaffold_131" 148783 153989 1 "ENSGACG00000000360" 0.578522284929485 0.22444445070638 2.72798460926094 0.0986036432694269 0.99957234361132 0.431251247308059
"ENSGACG00000000364" "scaffold_27-416" "scaffold_27" 297835 298039 6.07 1.64e-07 "tfeb" "transcription factor EB [Source:ZFIN;Acc:ZDB-GENE-090807-3]" "scaffold_27" 313933 324000 1 "ENSGACG00000000364" 0.245175086734979 1.5543911509069 0.507836833854419 0.476076776476613 0.99957234361132 0.971629060076025
"ENSGACG00000000364" "scaffold_27-496" "scaffold_27" 298317 298521 3.75 6.83e-05 "tfeb" "transcription factor EB [Source:ZFIN;Acc:ZDB-GENE-090807-3]" "scaffold_27" 313933 324000 1 "ENSGACG00000000364" 0.245175086734979 1.5543911509069 0.507836833854419 0.476076776476613 0.99957234361132 0.971629060076025
"ENSGACG00000000364" "scaffold_27-417" "scaffold_27" 304870 305074 5.63 1.01e-06 "tfeb" "transcription factor EB [Source:ZFIN;Acc:ZDB-GENE-090807-3]" "scaffold_27" 313933 324000 1 "ENSGACG00000000364" 0.245175086734979 1.5543911509069 0.507836833854419 0.476076776476613 0.99957234361132 0.971629060076025
"ENSGACG00000000369" "scaffold_131-4" "scaffold_131" 171471 171675 2.65 1.29e-05 "" "" "scaffold_131" 164557 171691 -1 "ENSGACG00000000369" 0.0922746044772564 3.73692480660227 0.558003148961909 0.455065924870684 0.99957234361132 0.963523247857384
"ENSGACG00000000374" "scaffold_27-173" "scaffold_27" 656452 656656 2.55 3.48e-05 "srgap2a" "SLIT-ROBO Rho GTPase activating protein 2a [Source:ZFIN;Acc:ZDB-GENE-060915-2]" "scaffold_27" 640306 652975 1 "ENSGACG00000000374" -0.0517734123836748 5.78212844305245 0.211181633242148 0.645842824355254 0.99957234361132 0.999832494075397
"ENSGACG00000000376" "scaffold_27-173" "scaffold_27" 656452 656656 2.55 3.48e-05 "ikbke" "inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon [Source:ZFIN;Acc:ZDB-GENE-040718-251]" "scaffold_27" 657210 666353 1 "ENSGACG00000000376" -0.0760598771621887 2.08868810005511 0.158708354832955 0.690348497515276 0.99957234361132 0.999832494075397
"ENSGACG00000000383" "scaffold_27-83" "scaffold_27" 683274 683478 2.18 9.1e-07 "RASSF5" "Ras association (RalGDS/AF-6) domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]" "scaffold_27" 667434 691050 1 "ENSGACG00000000383" 0.0118446831829526 5.3752825048831 0.0201260179828218 0.887185694731674 0.99957234361132 0.999832494075397
"ENSGACG00000000397" "scaffold_27-558" "scaffold_27" 783591 783807 4.04 7.14e-05 "prelp" "proline/arginine-rich end leucine-rich repeat protein [Source:ZFIN;Acc:ZDB-GENE-080327-24]" "scaffold_27" 771284 788095 -1 "ENSGACG00000000397" 0.360865812226134 0.79766448043214 1.53485830024233 0.215384762401397 0.99957234361132 0.72556906865474
"ENSGACG00000000441" "scaffold_27-228" "scaffold_27" 892287 892491 2.93 1.3e-05 "" "" "scaffold_27" 890335 891195 -1 "ENSGACG00000000441" -0.768459025529421 -1.03516802604314 0.571605450044466 0.449621657691968 0.99957234361132 0.960669741444052
"ENSGACG00000000443" "scaffold_27-228" "scaffold_27" 892287 892491 2.93 1.3e-05 "INPP1" "inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]" "scaffold_27" 893538 896528 1 "ENSGACG00000000443" 0.0976093140862565 3.52030736158822 0.784396599061997 0.375799867250495 0.99957234361132 0.915681586617138
"ENSGACG00000000452" "scaffold_163-14" "scaffold_163" 58390 58594 6.07 1.64e-07 "vps9d1" "VPS9 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050306-57]" "scaffold_163" 56136 76745 1 "ENSGACG00000000452" 0.0199768872832498 4.96156980774904 0.00938483990642425 0.922825358051358 0.99957234361132 0.999832494075397
"ENSGACG00000000466" "scaffold_139-9" "scaffold_139" 103949 104153 2.31 2.1e-05 "usp11" "ubiquitin specific peptidase 11 [Source:ZFIN;Acc:ZDB-GENE-081104-421]" "scaffold_139" 94760 104419 -1 "ENSGACG00000000466" -0.0336309553819566 4.60964146810615 0.0929618406465025 0.76044502532205 0.99957234361132 0.999832494075397
"ENSGACG00000000498" "scaffold_27-153" "scaffold_27" 1010222 1010426 2.09 6.44e-05 "ctsz" "cathepsin Z [Source:ZFIN;Acc:ZDB-GENE-041010-139]" "scaffold_27" 1010198 1013485 1 "ENSGACG00000000498" 0.452828014549984 4.24150027974929 1.36653553427871 0.242408019824277 0.99957234361132 0.771141039750762
"ENSGACG00000000504" "scaffold_139-2" "scaffold_139" 138042 138246 2.02 2.79e-05 "ccdc135" "coiled-coil domain containing 135 [Source:ZFIN;Acc:ZDB-GENE-120406-10]" "scaffold_139" 130345 136698 -1 "ENSGACG00000000504" -0.0750940656499334 3.15396628570243 0.225389328273039 0.634963849375731 0.99957234361132 0.999832494075397
"ENSGACG00000000505" "scaffold_139-2" "scaffold_139" 138042 138246 2.02 2.79e-05 "edem2" "ER degradation enhancer, mannosidase alpha-like 2 [Source:ZFIN;Acc:ZDB-GENE-060519-1]" "scaffold_139" 138319 143371 1 "ENSGACG00000000505" -0.0139669292087684 4.11628104938957 0.0188281090519009 0.89086041460199 0.99957234361132 0.999832494075397
"ENSGACG00000000510" "scaffold_101-25" "scaffold_101" 323786 323990 3.47 8.96e-06 "gatad2b" "GATA zinc finger domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-060503-655]" "scaffold_101" 287792 318664 1 "ENSGACG00000000510" -0.054981426131192 5.39983031418716 0.355210035190602 0.551178569659291 0.99957234361132 0.991744935417379
"ENSGACG00000000514" "scaffold_101-25" "scaffold_101" 323786 323990 3.47 8.96e-06 "txnipa" "thioredoxin interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030804-10]" "scaffold_101" 332369 335543 -1 "ENSGACG00000000514" 0.2485663037184 4.8030565227663 1.38720328446058 0.238877966240103 0.99957234361132 0.765782182342727
"ENSGACG00000000601" "scaffold_27-175" "scaffold_27" 1266010 1266214 3.03 2.08e-08 "PIP4K2C (1 of 2)" "phosphatidylinositol-5-phosphate 4-kinase, type II, gamma [Source:HGNC Symbol;Acc:HGNC:23786]" "scaffold_27" 1255169 1261375 -1 "ENSGACG00000000601" 0.231836767273727 0.0656169808747771 0.542590593625157 0.46136107907507 0.99957234361132 0.965949478630656
"ENSGACG00000000604" "scaffold_27-175" "scaffold_27" 1266010 1266214 3.03 2.08e-08 "spryd3 (1 of 2)" "SPRY domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-070928-22]" "scaffold_27" 1266412 1276687 1 "ENSGACG00000000604" 0.310050061889584 -0.177052381800153 0.718396329342024 0.396670446495572 0.99957234361132 0.931237489522402
"ENSGACG00000000607" "scaffold_90-14" "scaffold_90" 143893 144097 2.08 1.49e-05 "tbk1" "TANK-binding kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060512-359]" "scaffold_90" 143888 155874 1 "ENSGACG00000000607" 0.00412813655215748 5.65972204195442 0.00295183279691624 0.956671633162334 0.99957234361132 0.999832494075397
"ENSGACG00000000623" "scaffold_90-38" "scaffold_90" 209998 210202 3.68 7.31e-06 "ptpro" "protein tyrosine phosphatase, receptor type, O [Source:ZFIN;Acc:ZDB-GENE-070424-54]" "scaffold_90" 203340 219422 -1 "ENSGACG00000000623" -0.0639343527366403 5.86421972452507 0.497040633853004 0.48080333608111 0.99957234361132 0.973134489966465
