"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000078" "chr13-1459" "chr13" 5803143 5803335 2.69 3.3e-07 "Klf6" "Kruppel-like factor 6" "13" 5860735 5869639 1 "A1" NA -0.0001359489 5.7521182316 0.9971405137 1
"ENSMUSG00000000078" "chr13-4096" "chr13" 5804224 5804416 4.38 1.13e-06 "Klf6" "Kruppel-like factor 6" "13" 5860735 5869639 1 "A1" NA -0.0001359489 5.7521182316 0.9971405137 1
"ENSMUSG00000000078" "chr13-2794" "chr13" 5826531 5826735 5.14 4.78e-07 "Klf6" "Kruppel-like factor 6" "13" 5860735 5869639 1 "A1" NA -0.0001359489 5.7521182316 0.9971405137 1
"ENSMUSG00000000125" "chr11-2156" "chr11" 103671848 103672040 2.11 5.75e-05 "Wnt3" "wingless-related MMTV integration site 3" "11" 103635464 103679271 1 "E1" NA 0.2961305972 1.0305943477 0.0804 1
"ENSMUSG00000000125" "chr11-5165" "chr11" 103669919 103670111 2.92 7.64e-07 "Wnt3" "wingless-related MMTV integration site 3" "11" 103635464 103679271 1 "E1" NA 0.2961305972 1.0305943477 0.0804 1
"ENSMUSG00000000126" "chr11-1351" "chr11" 59146866 59147058 2.07 7.52e-06 "Wnt9a" "wingless-type MMTV integration site 9A" "11" 59120430 59147054 1 "B1.3" NA 0.005487545 4.1256698125 0.9414769484 1
"ENSMUSG00000000126" "chr11-1796" "chr11" 59119197 59119389 2.49 8.32e-07 "Wnt9a" "wingless-type MMTV integration site 9A" "11" 59120430 59147054 1 "B1.3" NA 0.005487545 4.1256698125 0.9414769484 1
"ENSMUSG00000000126" "chr11-2492" "chr11" 59122883 59123075 2.47 6.21e-06 "Wnt9a" "wingless-type MMTV integration site 9A" "11" 59120430 59147054 1 "B1.3" NA 0.005487545 4.1256698125 0.9414769484 1
"ENSMUSG00000000127" "chr17-2031" "chr17" 64487379 64487571 3.11 7.98e-08 "Fer" "fer (fms/fps related) protein kinase" "17" 64213364 64488843 1 "E1.1" NA 0.062251685 3.7641866378 0.4869865677 1
"ENSMUSG00000000131" "chr7-262" "chr7" 133415703 133415895 2.26 7.45e-13 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA -0.0313812632 6.4712375758 0.586113726 1
"ENSMUSG00000000131" "chr7-3731" "chr7" 133411008 133411200 5.35 1.92e-09 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA -0.0313812632 6.4712375758 0.586113726 1
"ENSMUSG00000000142" "chr11-4710" "chr11" 108785062 108785254 2.72 6.42e-06 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA 0.0139942173 4.8715359381 0.8442204941 1
"ENSMUSG00000000142" "chr11-6464" "chr11" 108854988 108855180 18.48 6.06e-17 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA 0.0139942173 4.8715359381 0.8442204941 1
"ENSMUSG00000000142" "chr11-4250" "chr11" 108787988 108788192 3.08 2.36e-06 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA 0.0139942173 4.8715359381 0.8442204941 1
"ENSMUSG00000000148" "chr5-6465" "chr5" 141181986 141182178 3.89 1.99e-05 "Baat1" "BRCA1-associated ATM activator 1" "5" 141180965 141195333 1 "G2" NA -0.0629101057 4.3863071688 0.4187632331 1
"ENSMUSG00000000149" "chr5-1549" "chr5" 141275377 141275569 3.15 2.3e-12 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA 0.0596000143 6.5109943412 0.3029496471 1
"ENSMUSG00000000149" "chr5-3515" "chr5" 141232494 141232698 2.57 3.04e-05 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA 0.0596000143 6.5109943412 0.3029496471 1
"ENSMUSG00000000184" "chr6-2532" "chr6" 127105103 127105295 2.56 1.26e-05 "Ccnd2" "cyclin D2" "6" 127075797 127101066 -1 "F3" NA 0.1411127388 6.2425877043 0.0158 0.646
