"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000120" "chr11-4703" "chr11" 95382305 95382481 2.72 8.17e-07 "Ngfr" "nerve growth factor receptor (TNFR superfamily, member 16)" "11" 95430132 95449049 -1 "D" NA -0.6116369566 4.2539678678 2.52e-08 1.21e-05
"ENSMUSG00000000131" "chr7-10194" "chr7" 133316805 133316981 4.29 5.82e-08 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA -0.0342165142 6.7668059489 0.5917444114 1
"ENSMUSG00000000131" "chr7-5923" "chr7" 133227381 133227553 3.18 1.17e-06 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA -0.0342165142 6.7668059489 0.5917444114 1
"ENSMUSG00000000131" "chr7-7287" "chr7" 133242932 133243104 3.06 3.73e-06 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA -0.0342165142 6.7668059489 0.5917444114 1
"ENSMUSG00000000142" "chr11-2825" "chr11" 108752734 108752906 2.23 1.1e-06 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0795840854 5.1057550502 0.3583416776 1
"ENSMUSG00000000194" "chr2-6820" "chr2" 31072627 31072803 2.18 6.27e-05 "Gpr107" "G protein-coupled receptor 107" "2" 31007836 31075068 1 "B" NA -0.0380246706 6.1025070514 0.5857289388 1
"ENSMUSG00000000296" "chr10-3157" "chr10" 31071710 31071886 2.38 3.97e-05 "Tpd52l1" "tumor protein D52-like 1" "10" 31052186 31165727 -1 "A4" NA -0.0462895729 4.514874068 0.648177911 1
"ENSMUSG00000000325" "chr16-1698" "chr16" 18394149 18394325 2.1 5.89e-05 "Arvcf" "armadillo repeat gene deleted in velo-cardio-facial syndrome" "16" 18348275 18407169 1 "A3" NA -0.0553279428 5.7862178397 0.455783587 1
"ENSMUSG00000000402" "chrX-1148" "chrX" 163023475 163023647 2.84 2.25e-06 "Egfl6" "EGF-like-domain, multiple 6" "X" 162960939 163023652 -1 "F5" NA -0.0548129626 2.2600843453 0.768255618 1
"ENSMUSG00000000416" "chr6-2227" "chr6" 18419419 18419591 2.19 1.8e-05 "Cttnbp2" "cortactin binding protein 2" "6" 18316478 18465338 -1 "A2" NA -0.1309037548 5.7170092146 0.0814 1
"ENSMUSG00000000416" "chr6-6856" "chr6" 18389104 18389276 2.82 3.34e-05 "Cttnbp2" "cortactin binding protein 2" "6" 18316478 18465338 -1 "A2" NA -0.1309037548 5.7170092146 0.0814 1
"ENSMUSG00000000416" "chr6-6859" "chr6" 18426122 18426294 3.72 5.42e-06 "Cttnbp2" "cortactin binding protein 2" "6" 18316478 18465338 -1 "A2" NA -0.1309037548 5.7170092146 0.0814 1
"ENSMUSG00000000420" "chr18-3469" "chr18" 24366556 24366732 2.45 8.91e-05 "Galnt1" "UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1" "18" 24363845 24445319 1 "A2" NA 0.0556595724 6.3545099702 0.4150339257 1
"ENSMUSG00000000420" "chr18-4532" "chr18" 24381098 24381270 3.08 1.45e-05 "Galnt1" "UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1" "18" 24363845 24445319 1 "A2" NA 0.0556595724 6.3545099702 0.4150339257 1
"ENSMUSG00000000538" "chr11-5290" "chr11" 60061890 60062066 2.19 9.63e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA -0.0358910257 8.2938475343 0.5415053318 1
"ENSMUSG00000000538" "chr11-9226" "chr11" 60136565 60136737 3.08 1.45e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA -0.0358910257 8.2938475343 0.5415053318 1
"ENSMUSG00000000560" "chr5-3605" "chr5" 71484353 71484529 2.18 6.27e-05 "Gabra2" "gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2" "5" 71352296 71487088 -1 "C3.1" NA -0.0655456797 5.3326566546 0.4248486852 1
"ENSMUSG00000000631" "chr11-9374" "chr11" 77627448 77627620 2.41 8.21e-05 "Myo18a" "myosin XVIIIA" "11" 77576748 77679482 1 "B5" NA -0.0773418109 7.2692960833 0.21 1
"ENSMUSG00000000732" "chr10-3754" "chr10" 77590568 77590740 2.37 5.58e-05 "Icosl" "icos ligand" "10" 77532105 77546000 1 "C1" NA -0.012651944 2.7642525179 0.9364348262 1
"ENSMUSG00000000740" "chr8-4505" "chr8" 125640142 125640318 2.36 2.64e-05 "Rpl13" "ribosomal protein L13" "8" 125626250 125629144 1 "E1" NA 0.0100542131 7.4553906497 0.8737070346 1
"ENSMUSG00000000759" "chr8-3871" "chr8" 12659418 12659590 2.13 4e-05 "Tubgcp3" "tubulin, gamma complex associated protein 3" "8" 12614277 12672248 -1 "A1.1" NA 0.0420613698 6.0933505579 0.5536469263 1
"ENSMUSG00000000792" "chr8-4329" "chr8" 73403476 73403652 2.04 8.21e-05 "Slc5a5" "solute carrier family 5 (sodium iodide symporter), member 5" "8" 73406788 73416656 -1 "B3.3" NA -0.0230355631 4.792875444 0.8076101363 1
"ENSMUSG00000000794" "chr3-3624" "chr3" 89441989 89442161 3.06 3.73e-06 "Kcnn3" "potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3" "3" 89324086 89471683 1 "F1" NA -0.079378524 3.2425426058 0.5885866835 1
"ENSMUSG00000000861" "chr11-4539" "chr11" 23991638 23991814 2.28 5.07e-06 "Bcl11a" "B cell CLL/lymphoma 11A (zinc finger protein)" "11" 23978056 24074123 1 "A3.2" NA -0.202602321 4.7621600994 0.0334 0.972
"ENSMUSG00000000884" "chr16-2610" "chr16" 18543133 18543305 2.41 8.21e-05 "Gnb1l" "guanine nucleotide binding protein (G protein), beta polypeptide 1-like" "16" 18498861 18566772 1 "A3" NA 0.0525174788 1.9367472176 0.8042145249 1
"ENSMUSG00000001036" "chr11-3061" "chr11" 61346705 61346881 2.04 6.25e-06 "Epn2" "epsin 2" "11" 61330751 61393187 -1 "B2" NA -0.0379965872 6.8916449296 0.5466364192 1
"ENSMUSG00000001089" "chr4-7232" "chr4" 136101236 136101412 2.92 3.37e-05 "Luzp1" "leucine zipper protein 1" "4" 136025676 136110695 1 "D3" NA -0.1192991372 6.5425056236 0.0698 1
"ENSMUSG00000001119" "chr10-5064" "chr10" 76157633 76157805 3.22 4.53e-06 "Col6a1" "collagen, type VI, alpha 1" "10" 76171537 76188913 -1 "C1" NA -0.0542961114 3.8499793892 0.6603277659 1
"ENSMUSG00000001123" "chr11-12001" "chr11" 78815527 78815699 6.21 3.57e-09 "Lgals9" "lectin, galactose binding, soluble 9" "11" 78776476 78798448 -1 "B5" NA -0.080959344 1.8783791828 0.6828200393 1
"ENSMUSG00000001211" "chr10-6438" "chr10" 77776039 77776215 2.81 2.48e-05 "Agpat3" "1-acylglycerol-3-phosphate O-acyltransferase 3" "10" 77731923 77815234 -1 "C1" NA -0.0501331996 8.16438487 0.3967890937 1
"ENSMUSG00000001211" "chr10-5722" "chr10" 77806956 77807128 3.78 2.85e-08 "Agpat3" "1-acylglycerol-3-phosphate O-acyltransferase 3" "10" 77731923 77815234 -1 "C1" NA -0.0501331996 8.16438487 0.3967890937 1
