odb8_og_id	bee_gene_ids	mouse_gene_ids	stickleback_gene_ids
EOG8BRZ21	GB52116	ENSMUSG00000066629;ENSMUSG00000095638;ENSMUSG00000064081;ENSMUSG00000057863;ENSMUSG00000093922	ENSGACG00000002088
EOG8DRBT0	GB42995	ENSMUSG00000003955;ENSMUSG00000019909	ENSGACG00000003283
EOG8DV6XK	GB51360	ENSMUSG00000029547	ENSGACG00000014088
EOG8DV6XZ	GB42020	ENSMUSG00000061244	ENSGACG00000007896
EOG8DV6ZC	GB45825	ENSMUSG00000020677	ENSGACG00000020624
EOG8DV6ZS	GB51282	ENSMUSG00000038991	ENSGACG00000002309
EOG8DV700	GB40671	ENSMUSG00000034098;ENSMUSG00000036264	ENSGACG00000020880;ENSGACG00000016634
EOG8DV70C	GB44944	ENSMUSG00000079553;ENSMUSG00000024301;ENSMUSG00000031788	ENSGACG00000001865;ENSGACG00000017572;ENSGACG00000008615
EOG8DV70F	GB48111	ENSMUSG00000014769	ENSGACG00000016151
EOG8DV70M	GB46906;GB42558	ENSMUSG00000043964;ENSMUSG00000049686;ENSMUSG00000039747	ENSGACG00000017024;ENSGACG00000020767;ENSGACG00000011865
EOG8DV70S	GB40760	ENSMUSG00000010110	ENSGACG00000016980
EOG8DV71H	GB48552	ENSMUSG00000032575;ENSMUSG00000039496	ENSGACG00000001576;ENSGACG00000019292
EOG8DV71J	GB41231;GB55431;GB52513	ENSMUSG00000009293;ENSMUSG00000036241;ENSMUSG00000020794;ENSMUSG00000020307;ENSMUSG00000020870	ENSGACG00000017602;ENSGACG00000000291;ENSGACG00000013448;ENSGACG00000020223;ENSGACG00000011444;ENSGACG00000015317;ENSGACG00000008881
EOG8DV71P	GB49451;GB51408	ENSMUSG00000042831	ENSGACG00000002647
EOG8DV71X	GB43990	ENSMUSG00000018858	ENSGACG00000005029
EOG8DZ35P	GB55847	ENSMUSG00000001924;ENSMUSG00000069053;ENSMUSG00000032596;ENSMUSG00000035898	ENSGACG00000016096;ENSGACG00000010539;ENSGACG00000009903
EOG8DZ35R	GB52349	ENSMUSG00000030400	ENSGACG00000012407
EOG8DZ363	GB48351;GB40568;GB54533	ENSMUSG00000035936	ENSGACG00000002960
EOG8DZ366	GB52675	ENSMUSG00000020720	ENSGACG00000018535
EOG8DZ368	GB42811	ENSMUSG00000043843	ENSGACG00000003235
EOG8DZ36B	GB53239	ENSMUSG00000000976	ENSGACG00000020623
EOG8DZ36D	GB47826	ENSMUSG00000039620;ENSMUSG00000025899	ENSGACG00000011506;ENSGACG00000008185
EOG8DZ36F	GB55638	ENSMUSG00000028011	ENSGACG00000016513
EOG8DZ36G	GB48579	ENSMUSG00000055917	ENSGACG00000008086
EOG8DZ36M	GB54484	ENSMUSG00000034190	ENSGACG00000012376
EOG8DZ373	GB49032	ENSMUSG00000017715	ENSGACG00000002978
EOG8DZ37G	GB53334	ENSMUSG00000030870	ENSGACG00000014033
EOG8DZ37R	GB44397	ENSMUSG00000028229	ENSGACG00000001858
EOG8DZ38B	GB45699	ENSMUSG00000038806	ENSGACG00000019932
EOG8DZ38R	GB46880	ENSMUSG00000024269	ENSGACG00000008765
EOG8DZ3B5	GB44340;GB49167	ENSMUSG00000020738;ENSMUSG00000062224;ENSMUSG00000026021;ENSMUSG00000020265	ENSGACG00000019390;ENSGACG00000012291;ENSGACG00000005931;ENSGACG00000015581;ENSGACG00000010136
EOG8DZ3BC	GB40462	ENSMUSG00000017778;ENSMUSG00000094249	ENSGACG00000010223
EOG8F1ZDD	GB48925;GB42058	ENSMUSG00000040356;ENSMUSG00000016018	ENSGACG00000002927;ENSGACG00000016260
EOG8F1ZDH	GB44758	ENSMUSG00000029613;ENSMUSG00000024079;ENSMUSG00000031668	ENSGACG00000004355;ENSGACG00000004416;ENSGACG00000009512;ENSGACG00000004345
EOG8F1ZDM	GB49342	ENSMUSG00000032122;ENSMUSG00000024036	ENSGACG00000001446;ENSGACG00000017731;ENSGACG00000020750
EOG8F1ZDN	GB50287	ENSMUSG00000028999	ENSGACG00000019309
EOG8F1ZDS	GB50334;GB48901	ENSMUSG00000029208	ENSGACG00000018700
EOG8F1ZDV	GB49105	ENSMUSG00000031103;ENSMUSG00000037174;ENSMUSG00000036461	ENSGACG00000018469;ENSGACG00000012897;ENSGACG00000017463;ENSGACG00000019621
EOG8F1ZF2	GB46169	ENSMUSG00000034194;ENSMUSG00000025184	ENSGACG00000008447
EOG8F1ZFJ	GB43427	ENSMUSG00000007617;ENSMUSG00000003573;ENSMUSG00000025813	ENSGACG00000009905;ENSGACG00000015051;ENSGACG00000008041;ENSGACG00000015501;ENSGACG00000015784
EOG8F1ZG0	GB54956	ENSMUSG00000022663	ENSGACG00000015289
EOG8F1ZG7	GB55416	ENSMUSG00000078208;ENSMUSG00000024510;ENSMUSG00000062382;ENSMUSG00000035491;ENSMUSG00000050708;ENSMUSG00000060685;ENSMUSG00000024661	ENSGACG00000005970;ENSGACG00000015484;ENSGACG00000005990;ENSGACG00000008037;ENSGACG00000005975
EOG8F1ZGQ	GB56018	ENSMUSG00000014867	ENSGACG00000016660
EOG8F1ZH0	GB52689	ENSMUSG00000034936;ENSMUSG00000049866;ENSMUSG00000047446	ENSGACG00000000500;ENSGACG00000008143;ENSGACG00000000497;ENSGACG00000003710;ENSGACG00000012810
EOG8F1ZH3	GB49028	ENSMUSG00000018672;ENSMUSG00000060992	ENSGACG00000005661;ENSGACG00000009444
EOG8F1ZHN	GB51394	ENSMUSG00000042558	ENSGACG00000012707
EOG8F1ZJ5	GB47492	ENSMUSG00000034968;ENSMUSG00000025216	ENSGACG00000016693;ENSGACG00000018293;ENSGACG00000003856
EOG8F4TN8	GB41988	ENSMUSG00000058006	ENSGACG00000006188
EOG8F4TNC	GB46478	ENSMUSG00000066621	ENSGACG00000009374;ENSGACG00000012103
EOG8F4TNF	GB52611	ENSMUSG00000021285;ENSMUSG00000026510;ENSMUSG00000040734	ENSGACG00000019730;ENSGACG00000012983;ENSGACG00000010288;ENSGACG00000005738;ENSGACG00000008040
EOG8F4TNR	GB47076	ENSMUSG00000025188	ENSGACG00000007506
