"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000000049" "chr11-2749" "chr11" 108202896 108203088 2.14 9.03e-05
"ENSMUSG00000000078" "chr13-1459" "chr13" 5803143 5803335 2.69 3.3e-07
"ENSMUSG00000000078" "chr13-4096" "chr13" 5804224 5804416 4.38 1.13e-06
"ENSMUSG00000000078" "chr13-2794" "chr13" 5826531 5826735 5.14 4.78e-07
"ENSMUSG00000000125" "chr11-2156" "chr11" 103671848 103672040 2.11 5.75e-05
"ENSMUSG00000000125" "chr11-5165" "chr11" 103669919 103670111 2.92 7.64e-07
"ENSMUSG00000000126" "chr11-1351" "chr11" 59146866 59147058 2.07 7.52e-06
"ENSMUSG00000000126" "chr11-1796" "chr11" 59119197 59119389 2.49 8.32e-07
"ENSMUSG00000000126" "chr11-2492" "chr11" 59122883 59123075 2.47 6.21e-06
"ENSMUSG00000000127" "chr17-2031" "chr17" 64487379 64487571 3.11 7.98e-08
"ENSMUSG00000000131" "chr7-262" "chr7" 133415703 133415895 2.26 7.45e-13
"ENSMUSG00000000131" "chr7-3731" "chr7" 133411008 133411200 5.35 1.92e-09
"ENSMUSG00000000142" "chr11-4710" "chr11" 108785062 108785254 2.72 6.42e-06
"ENSMUSG00000000142" "chr11-6464" "chr11" 108854988 108855180 18.48 6.06e-17
"ENSMUSG00000000142" "chr11-4250" "chr11" 108787988 108788192 3.08 2.36e-06
"ENSMUSG00000000148" "chr5-6465" "chr5" 141181986 141182178 3.89 1.99e-05
"ENSMUSG00000000149" "chr5-1549" "chr5" 141275377 141275569 3.15 2.3e-12
"ENSMUSG00000000149" "chr5-3515" "chr5" 141232494 141232698 2.57 3.04e-05
"ENSMUSG00000000159" "chr16-1192" "chr16" 96720193 96720397 2.31 8.61e-05
"ENSMUSG00000000184" "chr6-2532" "chr6" 127105103 127105295 2.56 1.26e-05
"ENSMUSG00000000202" "chr11-1277" "chr11" 114653017 114653209 2.86 1.56e-10
"ENSMUSG00000000244" "chr7-1681" "chr7" 150202234 150202426 2.31 1.17e-05
"ENSMUSG00000000253" "chr13-1945" "chr13" 45626484 45626676 3.4 1.04e-07
"ENSMUSG00000000253" "chr13-3704" "chr13" 45624418 45624610 5.84 2.16e-08
"ENSMUSG00000000374" "chr10-1808" "chr10" 77694892 77695084 2.57 1.7e-06
"ENSMUSG00000000392" "chr2-1659" "chr2" 62328006 62328198 2.03 2.35e-05
"ENSMUSG00000000392" "chr2-4568" "chr2" 62365920 62366112 3.16 1.17e-06
"ENSMUSG00000000394" "chr2-1659" "chr2" 62328006 62328198 2.03 2.35e-05
"ENSMUSG00000000416" "chr6-2584" "chr6" 18397487 18397679 2.48 3.27e-05
"ENSMUSG00000000416" "chr6-3946" "chr6" 18401662 18401854 3.7 5.42e-06
"ENSMUSG00000000531" "chr15-1291" "chr15" 101069112 101069304 2.2 8.09e-06
"ENSMUSG00000000531" "chr15-1562" "chr15" 101086330 101086522 2.25 3.6e-06
"ENSMUSG00000000531" "chr15-1810" "chr15" 101091564 101091756 2.4 7.3e-06
"ENSMUSG00000000531" "chr15-2099" "chr15" 101072508 101072700 2.63 1.77e-05
"ENSMUSG00000000531" "chr15-2288" "chr15" 101088723 101088915 3.28 3.55e-07
"ENSMUSG00000000532" "chr15-1157" "chr15" 101007667 101007859 2.14 1.19e-05
"ENSMUSG00000000538" "chr11-2833" "chr11" 60159880 60160072 3.31 7.37e-09
"ENSMUSG00000000544" "chr1-1638" "chr1" 168113518 168113710 2.92 7.56e-10
"ENSMUSG00000000560" "chr5-1858" "chr5" 71484353 71484545 2.27 5.34e-06
"ENSMUSG00000000631" "chr11-1499" "chr11" 77599296 77599488 2.04 4.48e-07
"ENSMUSG00000000706" "chr13-1739" "chr13" 23555878 23556070 2.65 4.68e-06
"ENSMUSG00000000738" "chr8-657" "chr8" 125625916 125626108 2.17 1.43e-08
"ENSMUSG00000000740" "chr8-657" "chr8" 125625916 125626108 2.17 1.43e-08
"ENSMUSG00000000751" "chr11-3552" "chr11" 75093965 75094157 2.32 3.79e-05
"ENSMUSG00000000782" "chr11-3244" "chr11" 52097493 52097685 2.4 7.3e-06
"ENSMUSG00000000791" "chr8-874" "chr8" 73357006 73357198 4.41 2.24e-19
"ENSMUSG00000000791" "chr8-1825" "chr8" 73330947 73331139 2.71 2.42e-07
"ENSMUSG00000000804" "chr11-5051" "chr11" 84781890 84782082 3.16 1.17e-06
"ENSMUSG00000000805" "chr11-3310" "chr11" 84773356 84773548 2.63 1.77e-05
"ENSMUSG00000000805" "chr11-5051" "chr11" 84781890 84782082 3.16 1.17e-06
"ENSMUSG00000000861" "chr11-1231" "chr11" 23983549 23983741 2.03 9.05e-08
"ENSMUSG00000000861" "chr11-2622" "chr11" 24035283 24035475 2.2 4.02e-05
"ENSMUSG00000000881" "chrX-770" "chrX" 97964746 97964938 2.43 2.26e-05
"ENSMUSG00000000889" "chr2-5439" "chr2" 27019926 27020118 2.8 3.34e-05
"ENSMUSG00000000915" "chr5-2935" "chr5" 124435418 124435610 3.28 3.55e-07
"ENSMUSG00000000915" "chr5-6327" "chr5" 124454405 124454597 3.5 1.99e-05
"ENSMUSG00000001036" "chr11-2341" "chr11" 61343218 61343410 2.46 2.99e-06
"ENSMUSG00000001036" "chr11-2662" "chr11" 61349865 61350057 2.51 8.87e-06
"ENSMUSG00000001036" "chr11-2841" "chr11" 61390974 61391166 2.59 3.37e-06
"ENSMUSG00000001036" "chr11-2839" "chr11" 61358540 61358732 2.43 4.32e-06
"ENSMUSG00000001052" "chr3-3575" "chr3" 129695489 129695693 3.29 5.03e-05
"ENSMUSG00000001053" "chr11-2209" "chr11" 51451637 51451829 2.78 8.79e-08
"ENSMUSG00000001054" "chr11-2209" "chr11" 51451637 51451829 2.78 8.79e-08
"ENSMUSG00000001054" "chr11-2484" "chr11" 51439188 51439380 2.13 6.01e-05
"ENSMUSG00000001054" "chr11-2647" "chr11" 51443426 51443618 2.33 7.3e-06
"ENSMUSG00000001056" "chr11-796" "chr11" 51429042 51429234 2.51 9.55e-11
"ENSMUSG00000001127" "chrX-947" "chrX" 20431272 20431464 3.24 1.76e-05
"ENSMUSG00000001151" "chr10-3308" "chr10" 75834542 75834734 3.47 3.89e-07
"ENSMUSG00000001175" "chr12-1430" "chr12" 101441674 101441866 2.53 1.19e-06
"ENSMUSG00000001175" "chr12-2915" "chr12" 101530789 101530981 2.92 2.94e-06
"ENSMUSG00000001249" "chr7-4200" "chr7" 31873026 31873218 3.06 1.45e-05
"ENSMUSG00000001270" "chr12-559" "chr12" 112908191 112908383 2.04 4.48e-07
"ENSMUSG00000001300" "chr8-3253" "chr8" 8631443 8631647 2.79 9.17e-05
"ENSMUSG00000001419" "chr3-394" "chr3" 87943558 87943750 2.15 5.97e-11
"ENSMUSG00000001419" "chr3-765" "chr3" 87955892 87956084 2.92 5.35e-11
"ENSMUSG00000001419" "chr3-4901" "chr3" 87958716 87958908 4.13 4.89e-06
"ENSMUSG00000001424" "chr6-1616" "chr6" 28792225 28792417 2.65 9.31e-09
"ENSMUSG00000001424" "chr6-1738" "chr6" 28778213 28778405 2.06 8.66e-05
"ENSMUSG00000001424" "chr6-1538" "chr6" 28753954 28754146 2.2 4.02e-05
"ENSMUSG00000001424" "chr6-2361" "chr6" 28500355 28500547 2.48 3.27e-05
"ENSMUSG00000001424" "chr6-2594" "chr6" 28739561 28739753 2.22 5.99e-05
"ENSMUSG00000001424" "chr6-2828" "chr6" 28702737 28702929 3.61 1.07e-07
"ENSMUSG00000001424" "chr6-3158" "chr6" 28765580 28765772 2.8 3.34e-05
"ENSMUSG00000001424" "chr6-5104" "chr6" 28550647 28550839 3.2 4.53e-06
"ENSMUSG00000001424" "chr6-4475" "chr6" 28533210 28533402 2.92 1.14e-05
"ENSMUSG00000001424" "chr6-5108" "chr6" 28680460 28680652 4.62 2.48e-07
"ENSMUSG00000001424" "chr6-1401" "chr6" 28647582 28647786 2.45 9.26e-06
"ENSMUSG00000001424" "chr6-2204" "chr6" 28696295 28696499 2.97 1.81e-06
"ENSMUSG00000001424" "chr6-4131" "chr6" 28773583 28773787 2.7 6.45e-05
"ENSMUSG00000001441" "chr11-1745" "chr11" 97151571 97151763 2.3 1.56e-06
"ENSMUSG00000001576" "chr17-3162" "chr17" 26706655 26706859 15.42 1.91e-13
"ENSMUSG00000001604" "chr4-2371" "chr4" 135838444 135838636 2.82 2.25e-06
"ENSMUSG00000001627" "chr12-1916" "chr12" 40947319 40947511 3.77 2.1e-09
"ENSMUSG00000001786" "chr10-1654" "chr10" 85486318 85486522 2.77 1.76e-07
"ENSMUSG00000001833" "chr9-186" "chr9" 25012100 25012292 2.37 2.13e-16
"ENSMUSG00000001833" "chr9-2103" "chr9" 24978199 24978391 2.69 3.3e-07
"ENSMUSG00000001833" "chr9-3210" "chr9" 25037056 25037248 2.92 7.64e-07
"ENSMUSG00000001855" "chr2-4494" "chr2" 31893241 31893433 2.92 1.14e-05
"ENSMUSG00000001911" "chr8-1042" "chr8" 87262349 87262541 2.56 1.76e-08
"ENSMUSG00000001911" "chr8-2172" "chr8" 87307246 87307450 2.52 2.06e-05
"ENSMUSG00000001946" "chr9-1747" "chr9" 37336604 37336796 2.04 3.54e-05
"ENSMUSG00000001948" "chr9-2699" "chr9" 37401768 37401960 2.82 2.25e-06
"ENSMUSG00000001948" "chr9-5034" "chr9" 37381353 37381545 2.68 9.4e-05
"ENSMUSG00000001995" "chr8-5091" "chr8" 127984343 127984535 3.31 6.9e-05
"ENSMUSG00000001998" "chr2-8465" "chr2" 126863153 126863345 15.56 3e-13
"ENSMUSG00000002055" "chr11-4566" "chr11" 78135566 78135758 2.74 1.69e-06
"ENSMUSG00000002068" "chr7-2982" "chr7" 38873287 38873479 2.36 1.07e-05
"ENSMUSG00000002105" "chr2-2020" "chr2" 90918942 90919146 2 9.66e-05
"ENSMUSG00000002107" "chr2-4052" "chr2" 6645048 6645240 3.06 1.45e-05
"ENSMUSG00000002107" "chr2-1419" "chr2" 6999710 6999902 2.07 5.02e-06
"ENSMUSG00000002107" "chr2-2728" "chr2" 7101292 7101484 2.19 2.69e-05
"ENSMUSG00000002107" "chr2-2229" "chr2" 7078463 7078655 2.15 1.78e-05
"ENSMUSG00000002107" "chr2-3404" "chr2" 7070947 7071139 3.24 9.34e-08
"ENSMUSG00000002107" "chr2-4054" "chr2" 6993924 6994116 2.13 6.01e-05
"ENSMUSG00000002107" "chr2-4419" "chr2" 6981336 6981528 2.82 2.25e-06
"ENSMUSG00000002107" "chr2-4877" "chr2" 7001235 7001427 2.82 2.25e-06
"ENSMUSG00000002107" "chr2-4881" "chr2" 7047301 7047493 2.92 4.44e-05
