"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000000049" "chr11-7828" "chr11" 108129543 108129741 3.64 5.42e-06
"ENSMUSG00000000094" "chr11-7634" "chr11" 85671554 85671752 3.35 5.18e-06
"ENSMUSG00000000120" "chr11-2345" "chr11" 95471886 95472084 2.08 5.02e-06
"ENSMUSG00000000194" "chr2-3685" "chr2" 31061761 31061959 2.26 5.99e-05
"ENSMUSG00000000194" "chr2-6355" "chr2" 31057587 31057785 2.87 8.65e-06
"ENSMUSG00000000202" "chr11-6407" "chr11" 114651986 114652184 3.35 5.18e-06
"ENSMUSG00000000223" "chrX-515" "chrX" 130940011 130940209 2.2 2.42e-06
"ENSMUSG00000000223" "chrX-1217" "chrX" 130943613 130943797 2.98 2.48e-05
"ENSMUSG00000000247" "chr2-3296" "chr2" 38194992 38195190 2.09 8.66e-05
"ENSMUSG00000000301" "chr11-6673" "chr11" 59842433 59842631 3.83 1.4e-06
"ENSMUSG00000000305" "chr2-6226" "chr2" 179537929 179538127 2.44 8.21e-05
"ENSMUSG00000000305" "chr2-8528" "chr2" 179541903 179542101 3.26 6.9e-05
"ENSMUSG00000000399" "chr6-3304" "chr6" 126720080 126720278 2.36 3.79e-05
"ENSMUSG00000000399" "chr6-3981" "chr6" 126715120 126715318 3.28 4.53e-06
"ENSMUSG00000000399" "chr6-5468" "chr6" 126700756 126700954 3.67 3.91e-07
"ENSMUSG00000000420" "chr18-1875" "chr18" 24326653 24326837 5.39 1.66e-13
"ENSMUSG00000000489" "chr15-3267" "chr15" 79904574 79904772 4.6 1.82e-08
"ENSMUSG00000000530" "chr15-2124" "chr15" 100959384 100959568 2.41 1.94e-06
"ENSMUSG00000000532" "chr15-1650" "chr15" 101006202 101006400 2.81 2.2e-09
"ENSMUSG00000000538" "chr11-3932" "chr11" 60101208 60101406 2.79 4.45e-07
"ENSMUSG00000000538" "chr11-6097" "chr11" 60068470 60068668 5.27 1.92e-09
"ENSMUSG00000000552" "chr15-1846" "chr15" 103165471 103165669 2.01 5.32e-05
"ENSMUSG00000000562" "chr3-1711" "chr3" 105658573 105658771 2.48 2.31e-07
"ENSMUSG00000000562" "chr3-2803" "chr3" 105656932 105657130 3.97 7.31e-09
"ENSMUSG00000000627" "chr6-2903" "chr6" 82773199 82773383 2.78 1.25e-05
"ENSMUSG00000000628" "chr6-2903" "chr6" 82773199 82773383 2.78 1.25e-05
"ENSMUSG00000000673" "chr17-2332" "chr17" 84248324 84248522 2.3 1.74e-05
"ENSMUSG00000000751" "chr11-2817" "chr11" 75136805 75137003 2.57 1.26e-07
"ENSMUSG00000000751" "chr11-7540" "chr11" 75135709 75135907 3.26 6.9e-05
"ENSMUSG00000000782" "chr11-6388" "chr11" 52086591 52086775 2.74 5.22e-05
"ENSMUSG00000000794" "chr3-2569" "chr3" 89410327 89410525 2.4 5.58e-05
"ENSMUSG00000000794" "chr3-3860" "chr3" 89458875 89459073 3.56 3.89e-07
"ENSMUSG00000000794" "chr3-5396" "chr3" 89328238 89328436 2.87 4.44e-05
"ENSMUSG00000000804" "chr11-5964" "chr11" 84909891 84910075 3 5.82e-06
"ENSMUSG00000000957" "chr14-1402" "chr14" 55052501 55052699 3.02 4.54e-09
"ENSMUSG00000001036" "chr11-6103" "chr11" 61385954 61386152 2.66 6.68e-05
"ENSMUSG00000001053" "chr11-3018" "chr11" 51451191 51451389 2.87 2.85e-09
"ENSMUSG00000001054" "chr11-3018" "chr11" 51451191 51451389 2.87 2.85e-09
"ENSMUSG00000001089" "chr4-2326" "chr4" 136104908 136105106 2.01 5.32e-05
"ENSMUSG00000001120" "chr10-5467" "chr10" 76263221 76263419 5.27 1.92e-09
"ENSMUSG00000001134" "chrX-614" "chrX" 20527960 20528158 2.34 9.71e-07
"ENSMUSG00000001156" "chr6-5210" "chr6" 86616618 86616816 3.26 6.9e-05
"ENSMUSG00000001173" "chrX-1493" "chrX" 45277520 45277718 3.64 5.42e-06
"ENSMUSG00000001175" "chr12-1283" "chr12" 101461086 101461284 2.22 1.1e-06
"ENSMUSG00000001175" "chr12-2225" "chr12" 101517021 101517219 2.4 5.58e-05
"ENSMUSG00000001240" "chr11-5340" "chr11" 101121525 101121723 2.66 6.68e-05
"ENSMUSG00000001424" "chr6-2448" "chr6" 28824023 28824221 2.17 9.03e-05
"ENSMUSG00000001435" "chr10-3879" "chr10" 76593674 76593872 3.83 3.91e-07
"ENSMUSG00000001496" "chr12-726" "chr12" 57630275 57630459 2.38 5.21e-10
"ENSMUSG00000001496" "chr12-1216" "chr12" 57631452 57631636 2.33 3.07e-06
"ENSMUSG00000001518" "chr6-1993" "chr6" 128370883 128371081 3.31 1.97e-09
"ENSMUSG00000001520" "chr6-5485" "chr6" 128352655 128352853 5.03 1.02e-08
"ENSMUSG00000001552" "chr11-4093" "chr11" 100233971 100234155 2.41 1.76e-05
"ENSMUSG00000001576" "chr17-1362" "chr17" 26721214 26721412 2.13 5.3e-06
"ENSMUSG00000001576" "chr17-1467" "chr17" 26796651 26796849 2.33 3.1e-07
"ENSMUSG00000001576" "chr17-2010" "chr17" 26739963 26740161 2.67 2.42e-07
"ENSMUSG00000001627" "chr12-1943" "chr12" 40974857 40975041 2.7 1.44e-06
"ENSMUSG00000001642" "chr6-2868" "chr6" 34243086 34243284 3.83 3.91e-07
"ENSMUSG00000001670" "chr8-2522" "chr8" 112494598 112494796 2.17 9.03e-05
"ENSMUSG00000001672" "chr8-2522" "chr8" 112494598 112494796 2.17 9.03e-05
"ENSMUSG00000001700" "chr18-3149" "chr18" 56597395 56597593 3.51 1.46e-06
"ENSMUSG00000001768" "chr2-6072" "chr2" 145656443 145656641 2.59 4.69e-05
"ENSMUSG00000001768" "chr2-6693" "chr2" 145703113 145703311 2.87 4.44e-05
"ENSMUSG00000001786" "chr10-2148" "chr10" 85496490 85496688 2.29 2.3e-06
"ENSMUSG00000001829" "chr7-7371" "chr7" 108888044 108888242 3.35 5.18e-06
"ENSMUSG00000001833" "chr9-1783" "chr9" 25186156 25186354 2.05 1.69e-05
"ENSMUSG00000001833" "chr9-2311" "chr9" 25012763 25012961 2.3 1.74e-05
"ENSMUSG00000001911" "chr8-2477" "chr8" 87288051 87288249 2.07 3.82e-05
"ENSMUSG00000001918" "chr7-6891" "chr7" 17344794 17344992 3.26 6.9e-05
"ENSMUSG00000001985" "chr4-5827" "chr4" 125271083 125271281 2.87 4.44e-05
"ENSMUSG00000001995" "chr8-6327" "chr8" 127947788 127947986 7.03 1.18e-11
"ENSMUSG00000002006" "chrX-1034" "chrX" 71050377 71050575 2.4 5.58e-05
"ENSMUSG00000002107" "chr2-5889" "chr2" 6467848 6468032 2.61 2.39e-05
"ENSMUSG00000002107" "chr2-6270" "chr2" 6749814 6750012 7.34 1.6e-12
"ENSMUSG00000002107" "chr2-6921" "chr2" 6790295 6790493 3.19 1.76e-05
"ENSMUSG00000002221" "chr5-2551" "chr5" 28058246 28058444 2.12 1.78e-05
"ENSMUSG00000002325" "chr14-819" "chr14" 56222530 56222728 2.08 3.19e-07
"ENSMUSG00000002372" "chr17-4801" "chr17" 56853312 56853510 5.99 5.97e-11
"ENSMUSG00000002489" "chr16-2362" "chr16" 90044233 90044431 3.47 1.04e-07
"ENSMUSG00000002489" "chr16-2645" "chr16" 90173079 90173277 5.27 1.92e-09
"ENSMUSG00000002588" "chr6-2430" "chr6" 5117274 5117472 2.43 1.56e-05
"ENSMUSG00000002660" "chr17-2788" "chr17" 57136102 57136300 3.14 2.1e-08
"ENSMUSG00000002661" "chr17-2788" "chr17" 57136102 57136300 3.14 2.1e-08
"ENSMUSG00000002679" "chr12-3952" "chr12" 82720228 82720426 4.41 1.82e-08
"ENSMUSG00000002688" "chr12-1950" "chr12" 51661570 51661754 3.13 5.97e-09
"ENSMUSG00000002771" "chr7-2360" "chr7" 53122839 53123037 2.63 4.74e-08
"ENSMUSG00000002771" "chr7-6309" "chr7" 53116449 53116647 8.62 5.61e-11
"ENSMUSG00000003099" "chr7-2577" "chr7" 17587276 17587474 2 2.35e-05
"ENSMUSG00000003131" "chr9-2220" "chr9" 45812090 45812288 2.34 4.98e-06
"ENSMUSG00000003131" "chr9-5163" "chr9" 45817683 45817881 10.54 6.11e-15
"ENSMUSG00000003178" "chr6-2999" "chr6" 121019225 121019423 2.55 8.87e-06
"ENSMUSG00000003178" "chr6-3282" "chr6" 120950281 120950479 2.4 1.07e-05
"ENSMUSG00000003269" "chr7-7001" "chr7" 53059790 53059988 5.43 1.24e-07
"ENSMUSG00000003271" "chr7-3851" "chr7" 52997134 52997332 3.42 1.35e-06
"ENSMUSG00000003279" "chr17-1842" "chr17" 70984347 70984545 2.02 8.02e-05
"ENSMUSG00000003279" "chr17-2184" "chr17" 70937116 70937314 2.63 3.37e-06
"ENSMUSG00000003279" "chr17-3021" "chr17" 70938257 70938455 2.98 2.94e-06
"ENSMUSG00000003279" "chr17-4849" "chr17" 70857878 70858076 4.07 4.89e-06
"ENSMUSG00000003279" "chr17-4850" "chr17" 70875104 70875302 3.28 4.53e-06
"ENSMUSG00000003380" "chr7-5176" "chr7" 25722267 25722465 2.59 4.69e-05
"ENSMUSG00000003410" "chr9-2179" "chr9" 21830226 21830424 2.06 2.54e-05
"ENSMUSG00000003545" "chr7-3344" "chr7" 19927688 19927886 2.08 5.75e-05
"ENSMUSG00000003549" "chr7-3344" "chr7" 19927688 19927886 2.08 5.75e-05
"ENSMUSG00000003575" "chr8-2108" "chr8" 72972268 72972452 2.09 3.36e-05
"ENSMUSG00000003882" "chr15-4107" "chr15" 9495652 9495850 3.26 6.9e-05
"ENSMUSG00000003949" "chr11-6883" "chr11" 90313448 90313646 3.51 1.46e-06
"ENSMUSG00000003974" "chr5-1922" "chr5" 9723409 9723607 2.08 7.52e-06
