"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000085" "chr4-1019" "chr4" 120077411 120077571 3.95 5.37e-10 "Scmh1" "sex comb on midleg homolog 1" "4" 120077886 120202804 1 "D2.2" NA 0.0326640535 5.5905071201 0.7183417856 1
"ENSMUSG00000000134" "chrX-359" "chrX" 7366502 7366662 2.94 1.14e-05 "Tfe3" "transcription factor E3" "X" 7339686 7352328 1 "A1.1" NA 0.0021056879 5.365915436 0.9835757551 1
"ENSMUSG00000000282" "chr11-523" "chr11" 74651462 74651622 2.13 1.19e-05 "Mnt" "max binding protein" "11" 74644422 74659227 1 "B5" NA -0.0671793843 5.5831720082 0.4590524242 1
"ENSMUSG00000000282" "chr11-930" "chr11" 74652216 74652376 2.5 1.19e-06 "Mnt" "max binding protein" "11" 74644422 74659227 1 "B5" NA -0.0671793843 5.5831720082 0.4590524242 1
"ENSMUSG00000000282" "chr11-1168" "chr11" 74643524 74643684 2.2 4.02e-05 "Mnt" "max binding protein" "11" 74644422 74659227 1 "B5" NA -0.0671793843 5.5831720082 0.4590524242 1
"ENSMUSG00000000305" "chr2-2321" "chr2" 179456274 179456428 7.15 8.07e-12 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.2003137756 4.5772356894 0.0587 1
"ENSMUSG00000000374" "chr10-1288" "chr10" 77701470 77701630 2.61 6.68e-05 "Trappc10" "trafficking protein particle complex 10" "10" 77649470 77707387 -1 "C1" NA 0.0290076111 6.6407569063 0.7289979898 1
"ENSMUSG00000000392" "chr2-2524" "chr2" 62327386 62327546 3.04 1.45e-05 "Fap" "fibroblast activation protein" "2" 62339000 62412132 -1 "C1.3" NA -0.0528813636 1.6139536648 0.7903555592 1
"ENSMUSG00000000399" "chr6-4500" "chr6" 126724973 126725133 4.04 4.89e-06 "Ndufa9" "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9" "6" 126771881 126799162 -1 "F3" NA -0.0087064378 6.5479216698 0.9179779098 1
"ENSMUSG00000000538" "chr11-1155" "chr11" 60130500 60130660 2.31 2.57e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA 0.0167419424 8.4175990488 0.8275003036 1
"ENSMUSG00000000560" "chr5-1880" "chr5" 71486109 71486269 2.85 3.34e-05 "Gabra2" "gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2" "5" 71352296 71487088 -1 "C3.1" NA 0.0166530838 4.5601567046 0.8759590116 1
"ENSMUSG00000000560" "chr5-3273" "chr5" 71485666 71485826 3.18 1.76e-05 "Gabra2" "gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2" "5" 71352296 71487088 -1 "C3.1" NA 0.0166530838 4.5601567046 0.8759590116 1
"ENSMUSG00000000562" "chr3-2753" "chr3" 105674741 105674901 4.59 2.48e-07 "Adora3" "adenosine A3 receptor" "3" 105673776 105711846 1 "F2.2" NA 0.1167863657 0.1860649637 0.6393418969 1
"ENSMUSG00000000581" "chr11-178" "chr11" 17157700 17157860 2.13 2.11e-08 "C1d" "C1D nuclear receptor co-repressor" "11" 17157582 17169179 1 "A2" NA -0.0683540436 5.25457231 0.4701632764 1
"ENSMUSG00000000631" "chr11-487" "chr11" 77579778 77579938 2.2 1.63e-06 "Myo18a" "myosin XVIIIA" "11" 77576748 77679482 1 "B5" NA -0.0244338206 7.4700534596 0.7605700651 1
"ENSMUSG00000000751" "chr11-1169" "chr11" 75105803 75105963 3.27 6.51e-09 "Rpa1" "replication protein A1" "11" 75111668 75161826 -1 "B5" NA -0.0593458371 5.3225832572 0.5267900309 1
"ENSMUSG00000000751" "chr11-3774" "chr11" 75121652 75121812 3.53 1.99e-05 "Rpa1" "replication protein A1" "11" 75111668 75161826 -1 "B5" NA -0.0593458371 5.3225832572 0.5267900309 1
"ENSMUSG00000000826" "chr2-1309" "chr2" 181254541 181254701 2.63 3.37e-06 "Dnajc5" "DnaJ (Hsp40) homolog, subfamily C, member 5" "2" 181255190 181289838 1 "H4" NA -0.0389204436 8.5829165353 0.6096979438 1
"ENSMUSG00000000827" "chr2-1309" "chr2" 181254541 181254701 2.63 3.37e-06 "Tpd52l2" "tumor protein D52-like 2" "2" 181231847 181252671 1 "H4" NA -0.0429074872 5.7414135396 0.6305022461 1
"ENSMUSG00000000958" "chr14-59" "chr14" 54980688 54980848 2.11 1.33e-09 "Slc7a7" "solute carrier family 7 (cationic amino acid transporter, y+ system), member 7" "14" 54989128 55032856 -1 "C2" NA -0.1516612922 0.5591227676 0.5249690192 1
"ENSMUSG00000000959" "chr14-59" "chr14" 54980688 54980848 2.11 1.33e-09 "Oxa1l" "oxidase assembly 1-like" "14" 54980525 54989353 1 "C2" NA 0.0272575739 5.4125884206 0.7689130723 1
"ENSMUSG00000001054" "chr11-2558" "chr11" 51443903 51444063 2.94 2.94e-06 "Rmnd5b" "required for meiotic nuclear division 5 homolog B (S. cerevisiae)" "11" 51437173 51449398 -1 "B1.3" NA -0.0022957563 5.6644827968 0.9804645536 1
"ENSMUSG00000001120" "chr10-537" "chr10" 76425032 76425192 2.31 2.57e-05 "Pcbp3" "poly(rC) binding protein 3" "10" 76224602 76424632 -1 "C1" NA 0.0853794329 5.8765071382 0.331896869 1
"ENSMUSG00000001175" "chr12-1685" "chr12" 101473719 101473873 6.35 9.43e-08 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-286" "chr12" 101514493 101514653 2.29 2.3e-06 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-494" "chr12" 101512523 101512683 2.2 1.8e-05 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-687" "chr12" 101483204 101483364 2.16 4e-05 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-910" "chr12" 101452791 101452951 3.25 4.53e-06 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-1215" "chr12" 101440412 101440572 2.64 1.77e-05 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001175" "chr12-1543" "chr12" 101492571 101492731 3.18 1.76e-05 "Calm1" "calmodulin 1" "12" 101437645 101448016 1 "E" NA -0.022502834 11.6742690643 0.7565975631 1
"ENSMUSG00000001240" "chr11-1615" "chr11" 101121516 101121670 2.43 7.23e-05 "Ramp2" "receptor (calcitonin) activity modifying protein 2" "11" 101107342 101120860 1 "D" NA 0.1518384236 3.7807097019 0.233 1
"ENSMUSG00000001323" "chr11-787" "chr11" 74738974 74739134 2.45 2.99e-06 "Srr" "serine racemase" "11" 74719861 74739450 -1 "B5" NA -0.0430095814 6.4732859867 0.6107779147 1
"ENSMUSG00000001415" "chr3-546" "chr3" 88140592 88140752 2.2 2.69e-05 "Smg5" "Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)" "3" 88140182 88166259 1 "F1" NA 0.0314277866 6.5611024882 0.7078298301 1
"ENSMUSG00000001419" "chr3-503" "chr3" 87943432 87943592 2.3 1.74e-05 "Mef2d" "myocyte enhancer factor 2D" "3" 87946294 87976008 1 "F1" NA 0.0235370576 8.1028571819 0.7622488994 1
"ENSMUSG00000001424" "chr6-1399" "chr6" 28733449 28733603 2.72 8.43e-05 "Snd1" "staphylococcal nuclease and tudor domain containing 1" "6" 28425139 28885162 1 "A3.3" NA 0.0381798258 5.9902023189 0.6608997073 1
"ENSMUSG00000001424" "chr6-1005" "chr6" 28492887 28493047 4.65 2.96e-10 "Snd1" "staphylococcal nuclease and tudor domain containing 1" "6" 28425139 28885162 1 "A3.3" NA 0.0381798258 5.9902023189 0.6608997073 1
"ENSMUSG00000001441" "chr11-731" "chr11" 97176680 97176840 3.05 4.54e-09 "Npepps" "aminopeptidase puromycin sensitive" "11" 97067156 97141952 -1 "D" NA -0.0414336682 7.2772686085 0.6081777164 1
"ENSMUSG00000001467" "chr5-90" "chr5" 4104540 4104700 2.17 1.64e-06 "Cyp51" "cytochrome P450, family 51" "5" 4081145 4104746 -1 "A1" NA 0.0088416112 6.1074880488 0.9191513475 1
"ENSMUSG00000001524" "chr17-416" "chr17" 35810434 35810594 2.34 4.98e-06 "Gtf2h4" "general transcription factor II H, polypeptide 4" "17" 35804675 35810684 -1 "B1" NA 0.007596992 3.8269740399 0.9556033997 1
"ENSMUSG00000001524" "chr17-527" "chr17" 35804670 35804830 3.41 5.78e-10 "Gtf2h4" "general transcription factor II H, polypeptide 4" "17" 35804675 35810684 -1 "B1" NA 0.007596992 3.8269740399 0.9556033997 1
"ENSMUSG00000001576" "chr17-474" "chr17" 26698860 26699020 2.08 5.75e-05 "Ergic1" "endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1" "17" 26698434 26793876 1 "A3.3" NA 0.018071512 7.0118239792 0.8256046997 1
"ENSMUSG00000001576" "chr17-1021" "chr17" 26732852 26733012 2.51 8.87e-06 "Ergic1" "endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1" "17" 26698434 26793876 1 "A3.3" NA 0.018071512 7.0118239792 0.8256046997 1
"ENSMUSG00000001576" "chr17-1917" "chr17" 26799722 26799882 5.63 1.24e-07 "Ergic1" "endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1" "17" 26698434 26793876 1 "A3.3" NA 0.018071512 7.0118239792 0.8256046997 1
"ENSMUSG00000001751" "chr11-1635" "chr11" 100925280 100925440 3.08 2.51e-07 "Naglu" "alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)" "11" 100931326 100938986 1 "D" NA 0.1170691784 2.7970934634 0.4572875487 1
"ENSMUSG00000001774" "chr9-598" "chr9" 18096204 18096364 4.24 5.59e-13 "Chordc1" "cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1" "9" 18096711 18118444 1 "A2" NA -0.0407232057 6.0841144833 0.637932043 1
"ENSMUSG00000001829" "chr7-651" "chr7" 108812302 108812462 2.57 8.87e-06 "Clpb" "ClpB caseinolytic peptidase B homolog (E. coli)" "7" 108812147 108943974 1 "E3" NA -0.0379606345 5.6880452869 0.6718774873 1
"ENSMUSG00000001833" "chr9-508" "chr9" 25012034 25012194 2.27 7.18e-07 "40792" "septin 7" "9" 25056204 25116150 1 "A4" NA -0.1028708344 8.8629143638 0.172 1
"ENSMUSG00000001911" "chr8-501" "chr8" 87274081 87274235 2.01 8.52e-05 "Nfix" "nuclear factor I/X" "8" 87223775 87324243 -1 "C3" NA -0.2029880684 7.7210385514 0.0103 0.499
"ENSMUSG00000001986" "chrX-481" "chrX" 38755766 38755926 2.86 8.65e-06 "Gria3" "glutamate receptor, ionotropic, AMPA3 (alpha 3)" "X" 38754031 39031778 1 "A3.3" NA -0.1354679698 7.9508974725 0.0838 1
