"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSGACG00000000009" "scaffold_89-11" "scaffold_89" 14499 14695 2.35 2.1e-05
"ENSGACG00000000064" "scaffold_99-78" "scaffold_99" 137897 138093 2.91 1.43e-05
"ENSGACG00000000075" "scaffold_99-31" "scaffold_99" 246165 246361 2.54 8.34e-07
"ENSGACG00000000078" "scaffold_95-7" "scaffold_95" 139724 139920 3.39 2.6e-18
"ENSGACG00000000079" "scaffold_99-31" "scaffold_99" 246165 246361 2.54 8.34e-07
"ENSGACG00000000245" "scaffold_369-4" "scaffold_369" 14453 14649 2.5 3.27e-05
"ENSGACG00000000319" "scaffold_27-543" "scaffold_27" 125037 125233 2.71 9.4e-05
"ENSGACG00000000340" "scaffold_27-414" "scaffold_27" 203807 204003 2.2 4.02e-05
"ENSGACG00000000371" "scaffold_27-692" "scaffold_27" 566670 566866 3 8.93e-05
"ENSGACG00000000472" "scaffold_27-285" "scaffold_27" 988140 988336 2.88 2.08e-08
"ENSGACG00000000486" "scaffold_27-285" "scaffold_27" 988140 988336 2.88 2.08e-08
"ENSGACG00000000617" "scaffold_27-327" "scaffold_27" 1411735 1411931 2.52 8.87e-06
"ENSGACG00000000618" "scaffold_27-327" "scaffold_27" 1411735 1411931 2.52 8.87e-06
"ENSGACG00000000653" "scaffold_27-341" "scaffold_27" 1598003 1598199 2.18 1.78e-05
"ENSGACG00000000698" "scaffold_47-56" "scaffold_47" 6926 7122 2.22 1.8e-05
"ENSGACG00000000730" "scaffold_47-41" "scaffold_47" 205491 205687 2.34 1.31e-07
"ENSGACG00000000731" "scaffold_47-41" "scaffold_47" 205491 205687 2.34 1.31e-07
"ENSGACG00000000751" "scaffold_47-121" "scaffold_47" 276710 276906 7.77 5.25e-13
"ENSGACG00000000769" "scaffold_177-5" "scaffold_177" 102982 103178 3.96 1.4e-06
"ENSGACG00000000877" "scaffold_47-129" "scaffold_47" 1185357 1185553 4.01 4.89e-06
"ENSGACG00000000943" "scaffold_134-2" "scaffold_134" 137409 137605 17.93 1.09e-15
"ENSGACG00000000953" "scaffold_134-2" "scaffold_134" 137409 137605 17.93 1.09e-15
"ENSGACG00000001103" "scaffold_150-21" "scaffold_150" 154522 154718 2.02 2.76e-05
"ENSGACG00000001238" "scaffold_181-7" "scaffold_181" 119350 119546 2.94 2.94e-06
"ENSGACG00000001244" "scaffold_891-1" "scaffold_891" 5054 5250 3.36 2.77e-08
"ENSGACG00000001328" "scaffold_115-7" "scaffold_115" 24166 24362 2.18 6.01e-05
"ENSGACG00000001382" "scaffold_27-377" "scaffold_27" 4113696 4113892 2.56 1.7e-06
"ENSGACG00000001411" "scaffold_115-5" "scaffold_115" 309658 309854 2.43 8.88e-07
"ENSGACG00000001413" "scaffold_219-13" "scaffold_219" 75833 76029 2.61 1.96e-06
"ENSGACG00000001415" "scaffold_115-5" "scaffold_115" 309658 309854 2.43 8.88e-07
"ENSGACG00000001443" "scaffold_111-26" "scaffold_111" 133683 133879 3.4 6.9e-05
"ENSGACG00000001452" "scaffold_111-26" "scaffold_111" 133683 133879 3.4 6.9e-05
"ENSGACG00000001478" "scaffold_27-553" "scaffold_27" 4244400 4244596 3.48 5.19e-07
"ENSGACG00000001561" "scaffold_27-323" "scaffold_27" 4558183 4558379 2.06 5.34e-05
"ENSGACG00000001623" "scaffold_106-8" "scaffold_106" 300746 300942 2.02 4.4e-05
"ENSGACG00000001637" "scaffold_106-8" "scaffold_106" 300746 300942 2.02 4.4e-05
"ENSGACG00000001658" "groupXXI-229" "groupXXI" 355133 355329 2 9.44e-06
"ENSGACG00000001666" "groupXXI-1027" "groupXXI" 589933 590129 3.33 1.84e-06
"ENSGACG00000001679" "groupXXI-1027" "groupXXI" 589933 590129 3.33 1.84e-06
"ENSGACG00000001695" "scaffold_122-14" "scaffold_122" 28844 29040 3.06 1.06e-06
"ENSGACG00000001704" "scaffold_122-14" "scaffold_122" 28844 29040 3.06 1.06e-06
"ENSGACG00000001712" "groupXXI-1155" "groupXXI" 967864 968060 2.71 9.4e-05
"ENSGACG00000001718" "groupXXI-1155" "groupXXI" 967864 968060 2.71 9.4e-05
"ENSGACG00000001727" "scaffold_178-4" "scaffold_178" 36169 36365 2.34 8.84e-07
"ENSGACG00000001909" "groupX-696" "groupX" 284120 284316 2.19 8.09e-06
"ENSGACG00000001909" "groupX-1781" "groupX" 268387 268583 3.46 5.18e-06
"ENSGACG00000001926" "groupXVI-1498" "groupXVI" 3044760 3044956 3 8.93e-05
"ENSGACG00000001995" "scaffold_128-12" "scaffold_128" 156531 156727 2.9 4.08e-08
"ENSGACG00000001996" "scaffold_128-12" "scaffold_128" 156531 156727 2.9 4.08e-08
"ENSGACG00000002120" "groupXIX-509" "groupXIX" 580584 580780 2.18 6.01e-05
"ENSGACG00000002145" "groupXXI-880" "groupXXI" 2952469 2952665 2.95 1.14e-05
"ENSGACG00000002155" "groupXXI-880" "groupXXI" 2952469 2952665 2.95 1.14e-05
"ENSGACG00000002168" "groupXVI-646" "groupXVI" 4079830 4080026 2.52 8.87e-06
"ENSGACG00000002286" "groupXXI-1167" "groupXXI" 3824310 3824506 4.5 5.22e-07
"ENSGACG00000002309" "groupXXI-1167" "groupXXI" 3824310 3824506 4.5 5.22e-07
"ENSGACG00000002487" "groupXIX-323" "groupXIX" 1299366 1299562 3.07 2.72e-11
"ENSGACG00000002490" "groupXIX-323" "groupXIX" 1299366 1299562 3.07 2.72e-11
"ENSGACG00000002542" "groupV-1134" "groupV" 1204234 1204430 2.78 4.24e-05
"ENSGACG00000002631" "groupXXI-261" "groupXXI" 6009096 6009292 2.44 9.39e-08
"ENSGACG00000002636" "groupXXI-261" "groupXXI" 6009096 6009292 2.44 9.39e-08
"ENSGACG00000002664" "groupXII-1970" "groupXII" 480440 480636 3 8.93e-05
