"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000078" "chr13-1871" "chr13" 5870936 5871126 2.23 4.69e-06 "Klf6" "Kruppel-like factor 6" "13" 5860735 5869639 1 "A1" NA -0.0317405918 5.4184468273 0.7187770046 1
"ENSMUSG00000000088" "chr9-2272" "chr9" 57353917 57354107 2.1 2.04e-06 "Cox5a" "cytochrome c oxidase, subunit Va" "9" 57369039 57380231 1 "B" NA 0.0870258461 6.9512054656 0.2890355313 1
"ENSMUSG00000000127" "chr17-1907" "chr17" 64318918 64319108 2.2 1.41e-06 "Fer" "fer (fms/fps related) protein kinase" "17" 64213364 64488843 1 "E1.1" NA -0.0298270759 3.6731976883 0.8167526457 1
"ENSMUSG00000000127" "chr17-2634" "chr17" 64250993 64251183 2.6 3.02e-06 "Fer" "fer (fms/fps related) protein kinase" "17" 64213364 64488843 1 "E1.1" NA -0.0298270759 3.6731976883 0.8167526457 1
"ENSMUSG00000000131" "chr7-7218" "chr7" 133324965 133325155 2.64 8.7e-05 "Xpo6" "exportin 6" "7" 133245229 133344015 -1 "F3" NA 0.010719396 6.5371787999 0.8970402449 1
"ENSMUSG00000000142" "chr11-4151" "chr11" 108752144 108752334 2.2 2.41e-05 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0341909603 4.8813554016 0.722602172 1
"ENSMUSG00000000142" "chr11-5453" "chr11" 108794750 108794940 2.4 1.4e-05 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0341909603 4.8813554016 0.722602172 1
"ENSMUSG00000000142" "chr11-5455" "chr11" 108809274 108809464 2.83 5.25e-07 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0341909603 4.8813554016 0.722602172 1
"ENSMUSG00000000142" "chr11-10412" "chr11" 108790795 108790985 2.23 5.42e-05 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0341909603 4.8813554016 0.722602172 1
"ENSMUSG00000000142" "chr11-6046" "chr11" 108803489 108803683 2.19 9.03e-05 "Axin2" "axin2" "11" 108781663 108812097 1 "E1" NA -0.0341909603 4.8813554016 0.722602172 1
"ENSMUSG00000000149" "chr5-6596" "chr5" 141255368 141255562 3.55 3.89e-07 "Gna12" "guanine nucleotide binding protein, alpha 12" "5" 141234362 141306385 -1 "G2" NA 0.0098654962 6.4341984979 0.9056350659 1
"ENSMUSG00000000197" "chr14-1453" "chr14" 123711249 123711439 3.02 1.02e-09 "Nalcn" "sodium leak channel, non-selective" "14" 123675863 124026366 -1 "E5" NA 0.0105789345 7.0615432897 0.8976834141 1
"ENSMUSG00000000223" "chrX-1577" "chrX" 130961473 130961663 2.57 6.15e-05 "Drp2" "dystrophin related protein 2" "X" 130939090 130991112 1 "E3" NA -0.0908795089 6.4189223446 0.2714881226 1
"ENSMUSG00000000247" "chr2-4384" "chr2" 38222636 38222826 2.19 1.6e-05 "Lhx2" "LIM homeobox protein 2" "2" 38194801 38225253 1 "B" NA -0.1470283837 5.3515544528 0.0968 1
"ENSMUSG00000000253" "chr13-1108" "chr13" 45604615 45604805 2.05 4.34e-06 "Gmpr" "guanosine monophosphate reductase" "13" 45602813 45641751 1 "A5" NA 0.0873028825 5.0122060939 0.3507218883 1
"ENSMUSG00000000282" "chr11-7356" "chr11" 74662100 74662290 2.38 7.51e-05 "Mnt" "max binding protein" "11" 74644422 74659227 1 "B5" NA 0.0669663732 5.4925754142 0.4415057803 1
"ENSMUSG00000000290" "chr10-2966" "chr10" 77004082 77004272 2.93 1.77e-07 "Itgb2" "integrin beta 2" "10" 76992997 77028453 1 "C1" NA -0.0559737203 2.2664554298 0.7465269784 1
"ENSMUSG00000000305" "chr2-2330" "chr2" 179272298 179272488 2.22 1.88e-07 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-3321" "chr2" 179602896 179603086 2.26 9.17e-07 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-7782" "chr2" 179597835 179598025 2.74 1.51e-06 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-11867" "chr2" 179497961 179498151 3.02 5.31e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-10635" "chr2" 179579377 179579567 2.89 1.04e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-13469" "chr2" 179504623 179504813 2.64 8.7e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000305" "chr2-13466" "chr2" 179443221 179443411 3.42 1.85e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA 0.0541536436 6.2353319123 0.5136994002 1
"ENSMUSG00000000317" "chr11-8277" "chr11" 70044505 70044699 3.84 2.85e-08 "Bcl6b" "B cell CLL/lymphoma 6, member B" "11" 70037630 70043300 -1 "B3" NA 0.0084830197 0.9321517827 0.9878140486 1
"ENSMUSG00000000325" "chr16-2443" "chr16" 18386392 18386582 3.02 2.24e-07 "Arvcf" "armadillo repeat gene deleted in velo-cardio-facial syndrome" "16" 18348275 18407169 1 "A3" NA -0.026801759 5.2750961 0.766391079 1
"ENSMUSG00000000325" "chr16-1530" "chr16" 18383725 18383919 2.2 8.09e-06 "Arvcf" "armadillo repeat gene deleted in velo-cardio-facial syndrome" "16" 18348275 18407169 1 "A3" NA -0.026801759 5.2750961 0.766391079 1
"ENSMUSG00000000326" "chr16-1662" "chr16" 18410505 18410695 2.59 5.72e-07 "Comt" "catechol-O-methyltransferase" "16" 18406979 18426945 -1 "A3" NA 0.0172624973 6.1028754922 0.8369695486 1
"ENSMUSG00000000326" "chr16-2763" "chr16" 18423665 18423859 2.37 3.79e-05 "Comt" "catechol-O-methyltransferase" "16" 18406979 18426945 -1 "A3" NA 0.0172624973 6.1028754922 0.8369695486 1
"ENSMUSG00000000374" "chr10-4181" "chr10" 77683039 77683229 2.56 1.14e-05 "Trappc10" "trafficking protein particle complex 10" "10" 77649470 77707387 -1 "C1" NA -0.0182706087 6.7131114458 0.8244280581 1
"ENSMUSG00000000399" "chr6-4773" "chr6" 126773851 126774041 2.24 8.13e-05 "Ndufa9" "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9" "6" 126771881 126799162 -1 "F3" NA 0.0548625156 6.4891649417 0.5064802921 1
"ENSMUSG00000000399" "chr6-4312" "chr6" 126742157 126742347 3.16 4.15e-06 "Ndufa9" "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9" "6" 126771881 126799162 -1 "F3" NA 0.0548625156 6.4891649417 0.5064802921 1
"ENSMUSG00000000399" "chr6-7521" "chr6" 126758448 126758638 2.89 1.04e-05 "Ndufa9" "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9" "6" 126771881 126799162 -1 "F3" NA 0.0548625156 6.4891649417 0.5064802921 1
"ENSMUSG00000000439" "chr6-3010" "chr6" 115558772 115558962 2.2 2.41e-05 "Mkrn2" "makorin, ring finger protein, 2" "6" 115551949 115568688 1 "E3" NA 0.0337356242 4.670811477 0.737586784 1
"ENSMUSG00000000441" "chr6-7404" "chr6" 115576244 115576434 3.02 1.34e-05 "Raf1" "v-raf-leukemia viral oncogene 1" "6" 115568085 115626653 -1 "E3" NA -0.0296022476 6.3648214525 0.720784274 1
"ENSMUSG00000000489" "chr15-2207" "chr15" 79904937 79905131 2.28 7.91e-06 "Pdgfb" "platelet derived growth factor, B polypeptide" "15" 79826330 79845238 -1 "E1" NA -0.0221941209 4.7786465845 0.8226117583 1
"ENSMUSG00000000530" "chr15-2648" "chr15" 100991833 100992023 2.45 7.27e-07 "Acvrl1" "activin A receptor, type II-like 1" "15" 100958953 100975767 1 "F2" NA -0.0045076759 3.8005052492 0.9719733291 1
"ENSMUSG00000000532" "chr15-2648" "chr15" 100991833 100992023 2.45 7.27e-07 "Acvr1b" "activin A receptor, type 1B" "15" 101004556 101043032 1 "F2" NA -0.007040936 6.6073489534 0.9323873833 1
"ENSMUSG00000000538" "chr11-4562" "chr11" 60117972 60118162 2.13 3.58e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA 0.0156521758 8.1736732912 0.8494638787 1
"ENSMUSG00000000538" "chr11-3232" "chr11" 60088226 60088420 2.08 1.69e-05 "Tom1l2" "target of myb1-like 2 (chicken)" "11" 60040216 60166407 -1 "B2" NA 0.0156521758 8.1736732912 0.8494638787 1
"ENSMUSG00000000552" "chr15-4235" "chr15" 103168634 103168824 3.02 3.39e-06 "Zfp385a" "zinc finger protein 385A" "15" 103144319 103170517 -1 "F3" NA 0.1061577028 6.036344217 0.203 1
"ENSMUSG00000000628" "chr6-3763" "chr6" 82724194 82724384 2.82 2.03e-06 "Hk2" "hexokinase 2" "6" 82675019 82724448 -1 "C3" NA -0.0581712584 2.1569095559 0.7412291523 1
"ENSMUSG00000000628" "chr6-6289" "chr6" 82723175 82723365 2.51 4.3e-05 "Hk2" "hexokinase 2" "6" 82675019 82724448 -1 "C3" NA -0.0581712584 2.1569095559 0.7412291523 1
"ENSMUSG00000000628" "chr6-3761" "chr6" 82724730 82724924 2.6 2.4e-06 "Hk2" "hexokinase 2" "6" 82675019 82724448 -1 "C3" NA -0.0581712584 2.1569095559 0.7412291523 1
"ENSMUSG00000000631" "chr11-6754" "chr11" 77667909 77668099 2.21 3.61e-05 "Myo18a" "myosin XVIIIA" "11" 77576748 77679482 1 "B5" NA -0.0209801559 7.3077735604 0.7984968199 1
"ENSMUSG00000000738" "chr8-5461" "chr8" 125595181 125595371 3.59 9.68e-08 "Spg7" "spastic paraplegia 7 homolog (human)" "8" 125586842 125621660 1 "E1" NA 0.0079230849 5.5977158057 0.927949268 1
"ENSMUSG00000000794" "chr3-3496" "chr3" 89455452 89455642 2.26 1.04e-05 "Kcnn3" "potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3" "3" 89324086 89471683 1 "F1" NA -0.1553220578 2.7848520152 0.3127638726 1
"ENSMUSG00000000794" "chr3-6542" "chr3" 89468084 89468274 2.77 3.08e-05 "Kcnn3" "potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3" "3" 89324086 89471683 1 "F1" NA -0.1553220578 2.7848520152 0.3127638726 1
"ENSMUSG00000000794" "chr3-6543" "chr3" 89516665 89516855 2.89 1.04e-05 "Kcnn3" "potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3" "3" 89324086 89471683 1 "F1" NA -0.1553220578 2.7848520152 0.3127638726 1
"ENSMUSG00000000804" "chr11-3432" "chr11" 84780211 84780401 2.25 7e-06 "Usp32" "ubiquitin specific peptidase 32" "11" 84797944 84953663 -1 "C" NA -0.036747125 7.0847411749 0.6545830208 1
"ENSMUSG00000000805" "chr11-3432" "chr11" 84780211 84780401 2.25 7e-06 "Car4" "carbonic anhydrase 4" "11" 84771288 84779546 1 "C" NA -0.090036856 4.5884350361 0.3776330528 1
"ENSMUSG00000000805" "chr11-6235" "chr11" 84772915 84773105 2.51 7.98e-06 "Car4" "carbonic anhydrase 4" "11" 84771288 84779546 1 "C" NA -0.090036856 4.5884350361 0.3776330528 1
"ENSMUSG00000000861" "chr11-7868" "chr11" 24012596 24012786 7.37 1.43e-12 "Bcl11a" "B cell CLL/lymphoma 11A (zinc finger protein)" "11" 23978056 24074123 1 "A3.2" NA 0.0855882679 6.1088237338 0.3042430001 1
"ENSMUSG00000000861" "chr11-9611" "chr11" 24037542 24037732 4.02 2.24e-08 "Bcl11a" "B cell CLL/lymphoma 11A (zinc finger protein)" "11" 23978056 24074123 1 "A3.2" NA 0.0855882679 6.1088237338 0.3042430001 1
"ENSMUSG00000000881" "chrX-1331" "chrX" 98002160 98002350 4.22 7.4e-08 "Dlg3" "discs, large homolog 3 (Drosophila)" "X" 97963061 98013749 1 "C3" NA -0.0337943729 7.4936657497 0.6807999847 1
