"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000000031" "chr7-4290" "chr7" 149774521 149774725 2.57 1.06e-05
"ENSMUSG00000000085" "chr4-7848" "chr4" 120160154 120160346 5.94 2.16e-08
"ENSMUSG00000000127" "chr17-4259" "chr17" 64479788 64479992 3.53 1.26e-06
"ENSMUSG00000000148" "chr5-5459" "chr5" 141197080 141197272 2.75 2.45e-05
"ENSMUSG00000000149" "chr5-2176" "chr5" 141287774 141287966 2.07 1.13e-05
"ENSMUSG00000000149" "chr5-2703" "chr5" 141323588 141323780 2.16 4e-05
"ENSMUSG00000000149" "chr5-3504" "chr5" 141242978 141243170 2.41 1.07e-05
"ENSMUSG00000000149" "chr5-4152" "chr5" 141239250 141239442 2.97 7.64e-07
"ENSMUSG00000000149" "chr5-5460" "chr5" 141238370 141238562 2.97 2.94e-06
"ENSMUSG00000000159" "chr16-2314" "chr16" 96692985 96693177 3.47 1.04e-07
"ENSMUSG00000000197" "chr14-1535" "chr14" 123711210 123711414 2.02 4.35e-05
"ENSMUSG00000000197" "chr14-1740" "chr14" 123694993 123695197 2.3 1.83e-06
"ENSMUSG00000000301" "chr11-5655" "chr11" 59905459 59905663 2.83 1.89e-06
"ENSMUSG00000000305" "chr2-5491" "chr2" 179503581 179503773 2.33 2.57e-05
"ENSMUSG00000000305" "chr2-2779" "chr2" 179529007 179529211 2.63 1.39e-07
"ENSMUSG00000000305" "chr2-7042" "chr2" 179198819 179199023 2.39 7.06e-05
"ENSMUSG00000000317" "chr11-6293" "chr11" 70042304 70042496 3.1 3.73e-06
"ENSMUSG00000000359" "chr2-4896" "chr2" 152478478 152478682 2.15 7.61e-05
"ENSMUSG00000000378" "chr11-7261" "chr11" 6461474 6461666 2.64 6.68e-05
"ENSMUSG00000000530" "chr15-2635" "chr15" 100983398 100983602 3.23 1.99e-08
"ENSMUSG00000000531" "chr15-1895" "chr15" 101063388 101063580 2.16 2.44e-06
"ENSMUSG00000000531" "chr15-2822" "chr15" 101064661 101064865 2.24 5.05e-05
"ENSMUSG00000000532" "chr15-2635" "chr15" 100983398 100983602 3.23 1.99e-08
"ENSMUSG00000000532" "chr15-3275" "chr15" 101051220 101051424 2.24 5.05e-05
"ENSMUSG00000000538" "chr11-8295" "chr11" 60078867 60079059 2.64 6.68e-05
"ENSMUSG00000000538" "chr11-5659" "chr11" 60047224 60047428 2.44 1.91e-05
"ENSMUSG00000000544" "chr1-3594" "chr1" 168113712 168113904 2.29 1.17e-05
"ENSMUSG00000000560" "chr5-6914" "chr5" 71555397 71555601 2.58 5.81e-05
"ENSMUSG00000000594" "chr11-3219" "chr11" 54910955 54911159 2.02 6.62e-05
"ENSMUSG00000000627" "chr6-5180" "chr6" 82876380 82876584 4.29 9.97e-07
"ENSMUSG00000000631" "chr11-2387" "chr11" 77673803 77673995 2.14 7.36e-07
"ENSMUSG00000000631" "chr11-3818" "chr11" 77660419 77660611 2.97 1.38e-08
"ENSMUSG00000000631" "chr11-4622" "chr11" 77601293 77601485 2.81 4.45e-07
"ENSMUSG00000000631" "chr11-8445" "chr11" 77677578 77677770 3.47 5.18e-06
"ENSMUSG00000000631" "chr11-5344" "chr11" 77634387 77634591 2.52 4.04e-05
"ENSMUSG00000000632" "chr11-3618" "chr11" 77747501 77747693 2.35 4.98e-06
"ENSMUSG00000000766" "chr10-1767" "chr10" 3428258 3428462 2.22 1.91e-06
"ENSMUSG00000000766" "chr10-3116" "chr10" 3410090 3410294 2.24 5.05e-05
"ENSMUSG00000000782" "chr11-4869" "chr11" 52085812 52086004 2.29 8.94e-05
"ENSMUSG00000000805" "chr11-4064" "chr11" 84734148 84734340 2.29 1.17e-05
"ENSMUSG00000000811" "chr6-1617" "chr6" 89563582 89563786 2.39 2.14e-07
"ENSMUSG00000000861" "chr11-1522" "chr11" 23995056 23995248 2.16 2.85e-10
"ENSMUSG00000000861" "chr11-2898" "chr11" 23984407 23984599 2.02 1.04e-05
"ENSMUSG00000000861" "chr11-6676" "chr11" 24022646 24022838 2.72 9.4e-05
"ENSMUSG00000000861" "chr11-6677" "chr11" 24025425 24025617 2.85 3.34e-05
"ENSMUSG00000000881" "chrX-1090" "chrX" 98006998 98007202 2.63 1.51e-05
"ENSMUSG00000000915" "chr5-4442" "chr5" 124433661 124433853 3.96 3.97e-11
"ENSMUSG00000001098" "chr5-4328" "chr5" 114820684 114820888 2.41 1.3e-05
"ENSMUSG00000001151" "chr10-1731" "chr10" 75834865 75835069 2.23 2.86e-06
"ENSMUSG00000001211" "chr10-2054" "chr10" 77813756 77813948 2.18 5.43e-06
"ENSMUSG00000001227" "chr17-3586" "chr17" 56297674 56297866 10.4 6.44e-14
"ENSMUSG00000001227" "chr17-4238" "chr17" 56264018 56264222 3.03 5.05e-05
"ENSMUSG00000001288" "chr15-3026" "chr15" 102079886 102080078 2.17 6.01e-05
"ENSMUSG00000001415" "chr3-3107" "chr3" 88155161 88155353 3.22 1.17e-06
"ENSMUSG00000001417" "chr3-1691" "chr3" 88034936 88035128 2.16 2.44e-06
"ENSMUSG00000001417" "chr3-2509" "chr3" 88027683 88027875 2.14 1.78e-05
"ENSMUSG00000001417" "chr3-2506" "chr3" 88038088 88038292 2.07 2.06e-05
"ENSMUSG00000001424" "chr6-3774" "chr6" 28787898 28788090 2.86 8.65e-06
"ENSMUSG00000001424" "chr6-4104" "chr6" 28829683 28829887 2.24 5.05e-05
"ENSMUSG00000001552" "chr11-2214" "chr11" 100257661 100257853 2.22 1.51e-07
"ENSMUSG00000001630" "chr6-4131" "chr6" 146702512 146702704 2.81 4.45e-07
"ENSMUSG00000001700" "chr18-3629" "chr18" 56608308 56608500 2.72 9.4e-05
"ENSMUSG00000001773" "chr7-8021" "chr7" 93921857 93922049 3.14 5.69e-05
"ENSMUSG00000001785" "chr10-4846" "chr10" 85354456 85354660 3.16 9.92e-07
"ENSMUSG00000001786" "chr10-3084" "chr10" 85515719 85515911 2.61 1.26e-05
"ENSMUSG00000001829" "chr7-4989" "chr7" 108915458 108915650 2.39 5.58e-05
"ENSMUSG00000001829" "chr7-6484" "chr7" 108775234 108775438 2.65 8.25e-05
"ENSMUSG00000001833" "chr9-4137" "chr9" 24972694 24972886 2.43 8.21e-05
"ENSMUSG00000001833" "chr9-3812" "chr9" 25031046 25031238 2.77 6.42e-06
"ENSMUSG00000001855" "chr2-8930" "chr2" 31891941 31892145 3.7 3.34e-07
"ENSMUSG00000001870" "chr17-2402" "chr17" 75706752 75706956 2.15 5.02e-05
"ENSMUSG00000001911" "chr8-5430" "chr8" 87244263 87244467 3.53 1.26e-06
"ENSMUSG00000001995" "chr8-3841" "chr8" 127986648 127986840 2.86 8.65e-06
"ENSMUSG00000001995" "chr8-7031" "chr8" 128070920 128071112 3.76 5.42e-06
"ENSMUSG00000002010" "chrX-614" "chrX" 71031186 71031378 2.45 1.13e-07
"ENSMUSG00000002068" "chr7-4804" "chr7" 38880324 38880516 3.71 7.97e-09
"ENSMUSG00000002107" "chr2-5087" "chr2" 6994727 6994919 2.7 4.68e-06
"ENSMUSG00000002107" "chr2-5084" "chr2" 6825198 6825390 2.86 8.65e-06
"ENSMUSG00000002107" "chr2-7185" "chr2" 6984019 6984211 2.67 1.77e-05
"ENSMUSG00000002279" "chr17-3788" "chr17" 25767594 25767786 2.75 2.45e-05
"ENSMUSG00000002325" "chr14-1331" "chr14" 56222495 56222699 2.13 1.44e-05
"ENSMUSG00000002341" "chr8-4379" "chr8" 72616519 72616723 2.39 7.06e-05
"ENSMUSG00000002365" "chr17-4511" "chr17" 5868403 5868595 3.8 3.91e-07
"ENSMUSG00000002459" "chr1-2919" "chr1" 4960507 4960711 3.33 5.89e-09
"ENSMUSG00000002489" "chr16-2804" "chr16" 89818633 89818825 2.97 7.64e-07
"ENSMUSG00000002489" "chr16-1380" "chr16" 89919153 89919357 2.56 3.69e-07
"ENSMUSG00000002489" "chr16-1905" "chr16" 89925667 89925871 2.29 1.44e-05
"ENSMUSG00000002489" "chr16-2722" "chr16" 89929060 89929264 2.58 5.81e-05
"ENSMUSG00000002489" "chr16-3503" "chr16" 90150012 90150204 2.72 9.4e-05
"ENSMUSG00000002504" "chr17-2478" "chr17" 24788315 24788519 2.31 2.14e-05
"ENSMUSG00000002524" "chr15-1420" "chr15" 75906065 75906257 2.29 1.56e-06
"ENSMUSG00000002625" "chr17-2922" "chr17" 32477856 32478060 2.63 1.51e-05
"ENSMUSG00000002688" "chr12-3454" "chr12" 51638059 51638251 2.39 5.58e-05
"ENSMUSG00000002688" "chr12-6206" "chr12" 51722217 51722409 3.96 1.4e-06
"ENSMUSG00000002699" "chr11-4223" "chr11" 33954340 33954544 2.15 7.61e-05
"ENSMUSG00000002741" "chr11-6506" "chr11" 5860383 5860587 4.21 4.89e-09
"ENSMUSG00000002803" "chr12-1503" "chr12" 114220465 114220657 2.02 1.04e-05
"ENSMUSG00000002803" "chr12-4343" "chr12" 114249707 114249899 2.52 3.27e-05
"ENSMUSG00000002831" "chr17-2165" "chr17" 56246897 56247089 2.2 1.21e-05
"ENSMUSG00000002833" "chr17-2165" "chr17" 56246897 56247089 2.2 1.21e-05
"ENSMUSG00000002871" "chr6-4254" "chr6" 88923576 88923780 2.69 2.11e-05
"ENSMUSG00000002871" "chr6-5852" "chr6" 88960206 88960410 2.69 2.11e-05
"ENSMUSG00000002881" "chr1-4443" "chr1" 52558594 52558786 2.88 5.9e-07
"ENSMUSG00000002949" "chr8-4618" "chr8" 4264430 4264634 5.25 2.49e-11
"ENSMUSG00000002957" "chr7-6706" "chr7" 148796147 148796351 2.52 4.04e-05
"ENSMUSG00000003099" "chr7-2544" "chr7" 17609485 17609677 2.37 9.71e-07
"ENSMUSG00000003123" "chr7-3556" "chr7" 26181744 26181936 2.26 5.99e-05
"ENSMUSG00000003166" "chr16-1966" "chr16" 17851486 17851690 2.39 7.06e-05
"ENSMUSG00000003178" "chr6-4053" "chr6" 121003640 121003832 2.58 4.69e-05
"ENSMUSG00000003178" "chr6-4465" "chr6" 121033610 121033802 2.43 8.21e-05
"ENSMUSG00000003178" "chr6-2152" "chr6" 120977149 120977353 2.28 1.23e-06
"ENSMUSG00000003279" "chr17-2839" "chr17" 70833578 70833770 3.27 2.46e-08
"ENSMUSG00000003279" "chr17-2240" "chr17" 70948610 70948814 2.14 3.31e-05
"ENSMUSG00000003279" "chr17-2102" "chr17" 70919306 70919510 2.07 3.13e-05
"ENSMUSG00000003279" "chr17-3866" "chr17" 70767696 70767900 2.52 4.04e-05
"ENSMUSG00000003279" "chr17-4291" "chr17" 70963908 70964112 3.46 3.29e-07
"ENSMUSG00000003279" "chr17-3543" "chr17" 71037850 71038054 5.55 2.91e-10
"ENSMUSG00000003279" "chr17-4771" "chr17" 71053476 71053680 3.17 3.9e-06
"ENSMUSG00000003279" "chr17-4772" "chr17" 71095448 71095652 3.37 4.51e-06
"ENSMUSG00000003279" "chr17-2173" "chr17" 70626779 70626971 2.09 5.75e-05
"ENSMUSG00000003279" "chr17-2389" "chr17" 70229021 70229225 2.36 5.98e-06
"ENSMUSG00000003279" "chr17-2761" "chr17" 70229563 70229767 2.48 2.79e-05
"ENSMUSG00000003279" "chr17-2992" "chr17" 70353550 70353754 2.73 5.43e-06
"ENSMUSG00000003316" "chr8-5478" "chr8" 113702668 113702860 3.57 1.99e-05
"ENSMUSG00000003354" "chr15-4305" "chr15" 98552900 98553104 2.88 3.9e-05
"ENSMUSG00000003378" "chr7-4750" "chr7" 25838639 25838831 2.77 6.42e-06
"ENSMUSG00000003378" "chr7-7659" "chr7" 25830322 25830514 3.3 1.76e-05
"ENSMUSG00000003526" "chr16-1992" "chr16" 18087997 18088189 2.18 9.03e-05
"ENSMUSG00000003534" "chr17-2147" "chr17" 35833804 35833996 2.03 5.32e-05
"ENSMUSG00000003585" "chr11-4175" "chr11" 3999036 3999240 2.08 7.23e-05
"ENSMUSG00000003585" "chr11-4781" "chr11" 4001689 4001893 2.63 1.51e-05
"ENSMUSG00000003872" "chr7-5748" "chr7" 52626449 52626641 2.61 1.26e-05
"ENSMUSG00000003974" "chr5-2188" "chr5" 9704468 9704660 2.15 1.1e-06
"ENSMUSG00000004031" "chr1-8217" "chr1" 160235634 160235826 3.76 5.42e-06
"ENSMUSG00000004043" "chr11-3113" "chr11" 100712821 100713013 2.06 5.02e-06
"ENSMUSG00000004056" "chr7-1919" "chr7" 28378035 28378227 2.16 2.44e-06
"ENSMUSG00000004056" "chr7-3160" "chr7" 28405794 28405998 2.69 5.08e-08
"ENSMUSG00000004069" "chr16-3479" "chr16" 4641256 4641460 3.17 3.9e-06
"ENSMUSG00000004071" "chr16-1567" "chr16" 4787556 4787748 2.71 6.49e-08
"ENSMUSG00000004085" "chr2-7356" "chr2" 72161455 72161659 2.52 4.04e-05
"ENSMUSG00000004098" "chr9-2665" "chr9" 20619182 20619374 2.69 2.42e-07
"ENSMUSG00000004098" "chr9-6684" "chr9" 20565780 20565984 3.03 5.05e-05
"ENSMUSG00000004110" "chr1-7265" "chr1" 156472462 156472666 3.87 8.51e-08
"ENSMUSG00000004113" "chr2-8920" "chr2" 24485976 24486168 7.59 1.6e-12
"ENSMUSG00000004113" "chr2-10021" "chr2" 24597824 24598016 3.47 5.18e-06
"ENSMUSG00000004113" "chr2-8837" "chr2" 24515438 24515642 3.46 3.29e-07
"ENSMUSG00000004113" "chr2-9934" "chr2" 24610489 24610693 3.37 4.51e-06
"ENSMUSG00000004207" "chr10-1353" "chr10" 59743732 59743924 2.59 2.46e-08
"ENSMUSG00000004317" "chrX-1060" "chrX" 6764558 6764762 2.63 1.51e-05
"ENSMUSG00000004328" "chr7-6887" "chr7" 17640431 17640623 3.96 1.99e-05
"ENSMUSG00000004344" "chr13-3596" "chr13" 21366685 21366889 2.88 3.9e-05
"ENSMUSG00000004383" "chr8-2703" "chr8" 75701880 75702072 2.67 9.03e-07
"ENSMUSG00000004455" "chr5-3217" "chr5" 122613229 122613421 2.09 5.75e-05
"ENSMUSG00000004530" "chr5-2231" "chr5" 114305800 114305992 2.33 4.54e-07
"ENSMUSG00000004530" "chr5-3695" "chr5" 114309025 114309217 2.33 2.57e-05
"ENSMUSG00000004562" "chr14-3666" "chr14" 52609631 52609823 2.97 4.44e-05
"ENSMUSG00000004631" "chr6-4075" "chr6" 4672653 4672857 4.04 2.08e-08
"ENSMUSG00000004633" "chr6-2407" "chr6" 54248963 54249155 2.72 1.24e-06
"ENSMUSG00000004633" "chr6-5214" "chr6" 54028416 54028608 2.58 4.69e-05
"ENSMUSG00000004654" "chr6-3863" "chr6" 55338838 55339030 2.97 1.14e-05
"ENSMUSG00000004654" "chr6-5225" "chr6" 55334505 55334697 3.11 1.45e-05
"ENSMUSG00000004667" "chr10-5424" "chr10" 79508486 79508678 2.97 4.44e-05
"ENSMUSG00000004892" "chr3-1767" "chr3" 87801150 87801342 2.19 8.09e-06
"ENSMUSG00000004892" "chr3-1852" "chr3" 87806107 87806311 2.32 2.72e-06
"ENSMUSG00000004894" "chr3-1852" "chr3" 87806107 87806311 2.32 2.72e-06
"ENSMUSG00000004936" "chr9-1385" "chr9" 64079075 64079267 2.08 2.14e-07
"ENSMUSG00000004936" "chr9-8046" "chr9" 64074413 64074605 3.37 6.9e-05
"ENSMUSG00000004939" "chr10-2188" "chr10" 80657439 80657631 2.33 2.57e-05
"ENSMUSG00000005034" "chr3-1908" "chr3" 146382114 146382306 2.36 1.31e-07
"ENSMUSG00000005034" "chr3-1909" "chr3" 146421619 146421811 2.64 1.75e-07
"ENSMUSG00000005089" "chr2-9362" "chr2" 102593858 102594050 3.96 1.4e-06
"ENSMUSG00000005107" "chr5-5529" "chr5" 38890901 38891105 2.52 4.04e-05
"ENSMUSG00000005237" "chr11-2308" "chr11" 69356957 69357161 2.2 8.5e-07
"ENSMUSG00000005360" "chr15-2147" "chr15" 8732306 8732510 2.13 2.18e-05
"ENSMUSG00000005371" "chr17-5546" "chr17" 88426109 88426301 3.14 5.69e-05
"ENSMUSG00000005410" "chr8-1049" "chr8" 77721451 77721643 2.04 4.07e-08
"ENSMUSG00000005417" "chr11-4260" "chr11" 59547661 59547853 2.35 4.98e-06
"ENSMUSG00000005417" "chr11-6252" "chr11" 59535266 59535458 2.52 3.27e-05
"ENSMUSG00000005474" "chr5-3775" "chr5" 137099121 137099313 2.77 6.42e-06
"ENSMUSG00000005514" "chr5-8321" "chr5" 136167273 136167477 3.63 4.77e-06
"ENSMUSG00000005533" "chr7-4138" "chr7" 75298973 75299177 2.31 2.14e-05
"ENSMUSG00000005533" "chr7-5747" "chr7" 75305197 75305401 2.58 5.81e-05
"ENSMUSG00000005580" "chr16-1932" "chr16" 4418497 4418701 2.45 3.54e-06
"ENSMUSG00000005583" "chr13-2229" "chr13" 83806199 83806403 2.15 7.61e-05
"ENSMUSG00000005583" "chr13-2223" "chr13" 83705538 83705742 2.56 1.97e-06
"ENSMUSG00000005583" "chr13-2896" "chr13" 83797406 83797610 2.73 5.43e-06
"ENSMUSG00000005609" "chr7-6615" "chr7" 118134663 118134855 2.97 1.14e-05
"ENSMUSG00000005611" "chr7-6615" "chr7" 118134663 118134855 2.97 1.14e-05
"ENSMUSG00000005615" "chr16-1077" "chr16" 32473106 32473298 2.97 6.77e-11
"ENSMUSG00000005621" "chr7-4539" "chr7" 88187666 88187858 2.26 5.99e-05
"ENSMUSG00000005621" "chr7-7065" "chr7" 88167204 88167408 6.39 4.79e-10
"ENSMUSG00000005686" "chr7-4932" "chr7" 117928461 117928665 2.48 2.79e-05
"ENSMUSG00000005686" "chr7-7231" "chr7" 117875628 117875832 3.03 5.05e-05
"ENSMUSG00000005716" "chr15-1773" "chr15" 78011880 78012084 2.49 1.8e-07
"ENSMUSG00000005763" "chr1-2674" "chr1" 167753083 167753287 2.17 4.32e-06
"ENSMUSG00000005824" "chr17-4321" "chr17" 57306393 57306585 3.76 5.42e-06
"ENSMUSG00000005886" "chr1-5909" "chr1" 13161748 13161940 2.97 1.14e-05
"ENSMUSG00000005886" "chr1-7475" "chr1" 13167601 13167793 3.37 6.9e-05
"ENSMUSG00000005892" "chr6-1980" "chr6" 92213043 92213247 2.12 9.54e-06
